AUCHINLEE MILLER ROAD AYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS336214,Long,-4.633,Lat,55.458,Elevation,36,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,3.4,2.18,8.07,5.5,1.32,1.28,0.47,2.94,4.65,7.35,2.21,4.25,2.35,2.04,2.45,4.01,2.4,3.1,2.75,,,,,,
February,,,,,,2.6,3.78,4.21,2.07,1.85,2.85,2.3,2.64,2.35,3.38,3.67,1.65,1.95,0.65,2.58,0.82,0.31,1.43,3.5,,,,,,
March,,,,,,1.39,5.92,2.06,1.85,3.25,2,3.26,3.65,1.4,1.9,2.62,2.35,1.68,1.86,1.4,2.24,2.1,0.8,1.15,,,,,,
April,,,,,,1.21,0.97,2.93,1.85,1.08,3.96,1.02,2.41,1.86,0.75,1.43,1.62,2.23,1.5,1.96,1.43,0.56,0.58,1.4,,,,,,
May,,,,,,1.43,0.78,2.27,1.62,2.24,1.02,2.2,1.5,2.12,3.2,1.48,2.8,1.78,1.95,3.35,2.35,1.35,4.21,2.2,,,,,,
June,,,,,,2.41,3.42,3.09,1.61,3.62,1.72,2.25,3.28,3.1,0.72,0.9,0.91,0.6,1.71,0.63,3.35,0.53,2.95,0.9,,,,,,
July,,,,,,2.25,3.5,3.96,0.95,3.86,2.82,3.38,4.05,2.1,3.98,1.35,2.16,2.48,3.52,2.52,3,1.02,2.5,4.25,,,,,,
August,,,,,,2,3.58,5.48,2.67,4.72,0.24,3.65,3.84,5.02,2.3,2.82,1.8,1.87,3.15,3.91,2.56,5.98,6.75,2.8,,,,,,
September,,,,,,5.65,2.4,2.52,4.2,4.32,4.37,1.72,3.45,3.1,3.67,4.32,3.4,3.61,1.55,2.84,3.07,4.58,4.55,2,,,,,,
October,,,,,,4.87,6.18,4.5,4.67,1.96,0.59,2.7,3.56,4.38,3.52,2.75,3.37,1.7,1.64,3.47,2.57,3.32,2.9,5,,,,,,
November,,,,,,4.05,2.25,5.96,1.96,1.32,4.32,4,5.8,5.9,3.28,1.95,3.4,2.82,4.85,1.77,5.81,3.51,3.1,1.6,,,,,,
December,,,,,2.2,3.25,5.53,5.07,1.97,2.21,3.8,4.03,3.92,4.17,5.5,2.8,4.56,2.8,2.84,3.95,1.25,5.86,1.8,4.8,,,,,,
Total,,,,,,34.51,40.49,50.12,30.92,31.75,28.97,30.98,41.04,40.15,39.55,28.3,32.27,25.87,27.26,30.83,32.46,31.52,34.67,32.35,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_24_pt1-page-044.csv covers three gauge moves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved to Ballantine Drive Jan 1894 thus data deleted from this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved to Glendrishay April 1896 thus data deleted from this record (see AYR_GLENDRISHAIG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
