"AYR AUCHINLEE, BALLANTINE DRIVE",,,,,,,,,,
Grid ref,NS339208,Long,-4.6280505,Lat,55.45279,Elevation,41,ft,,
Station no,RR3031,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,3.75,1.42,1.71,,,
February,,,,,5.85,0.25,1.47,,,
March,,,,,2.9,2.48,3.85,,,
April,,,,,2.12,1.82,,,,
May,,,,,2.6,0.21,,,,
June,,,,,2.75,1.2,,,,
July,,,,,3.29,4.46,,,,
August,,,,,2.98,5.4,,,,
September,,,,,0.15,0.85,,,,
October,,,,,2.95,3.99,,,,
November,,,,,2.72,4.02,,,,
December,,,,,3.25,4.2,,,,
Total,,,,,35.31,30.3,,,,
,,,,,,,,,,
Gauge moved from Miller Road to here in Jan 1894 and then onto AYR-GLENDRISHAIG in April 1896,,,,,,,,,,
TYRain_1890-1899_24_pt1-page-044.csv covers three gauge moves,,,,,,,,,,
