CROYDON-DUPPAS-HOUSE,,,,,,,,,,,,,,,,,
Grid ref,TQ318652,Long,-0.10706,Lat,51.37144,Elevation,158,ft,,,,,,,,,
Station no,RR8084,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,1.8,2.87,1.82,0.61,1.77,0.8,2.77,3.18,0.82,0.67,2.16,3.63,1.11,4.3,,,
February,3.33,1.68,0.32,0.31,2.04,1.32,2.48,4.59,1.41,0.81,1.51,3.05,0.99,2.08,,,
March,0.52,1.13,1.5,3.01,3.96,1.36,0.77,0.89,2.65,1.73,2.31,1.52,3.09,1.16,,,
April,0.08,1.83,1.52,0.64,1.28,1.15,2.42,0.86,2.07,0.72,1.74,1.26,1.71,0.57,,,
May,0.71,1.37,0.42,0.14,1.61,2.99,1.73,1.45,1.22,2.5,3.89,2.44,1.06,1.44,,,
June,0.87,2.48,0.35,2.29,2.13,1.44,0.86,2.82,1.51,3.98,7.2,0.8,5.48,2.6,,,
July,2.43,3.84,3.55,1.81,1.11,0.83,0.63,0.98,1.5,1.22,4.29,1.26,0.68,0.7,,,
August,0.57,2.99,2.36,2.09,2.64,0.98,0.79,3.01,2.04,3.22,3.83,1.66,2.48,1.36,,,
September,1.19,1.96,0.53,7,2.65,0.47,2.35,0.79,1.17,1.11,2.01,1.21,2.11,1.57,,,
October,3.48,5.25,2.51,3.34,0.62,2.95,2.39,1.81,2.86,1.44,5.27,1.89,1.11,3.76,,,
November,2.19,4.3,4.03,1.52,1.04,3.19,4.52,2.26,0.67,1.89,2.37,1.4,3.85,4.24,,,
December,2.61,1.71,2.31,3.28,3.11,2.92,1.66,2.62,4.02,1.38,2.16,2.44,0.5,2.04,,,
Total,19.78,31.41,21.22,26.04,23.96,20.4,23.37,25.26,21.94,20.67,38.74,22.56,24.17,25.82,,,
,,,,,,,,,,,,,,,,,
1893 Jan Gauge moved 1.3 miles WSW from Havelock Rd,,,,,,,,,,,,,,,,,
