ROCHDALE NEAR CASTLE HILL,,,,,,,,,,,,,,,,,,,,
Grid ref, SD891128,Long,-2.1662,Lat,53.6117,Elevation,500,ft,,,,,,,,,,,,
Station no,RR1390,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,1.75,0.08,9.67,5.05,5.32,5.46,0.43,4.01,5.78,2.43,4.06,5.65,5.02,3.5,5.53,2.62,,
February,,,1.02,6.4,4.5,5.94,4.37,5.2,2.38,4.28,2.11,2.14,1.5,1.32,2.2,1.87,1.95,3.75,,
March,,,4.01,1.81,3.49,5.8,6.18,1.87,3.25,5.56,0.34,3.12,3.81,2.01,7.21,3.81,2.97,1.43,,
April,,,2.76,3.64,1.77,1.55,3.72,1.64,2.77,1.05,0.9,1.34,0.05,7.64,1.43,3.18,4.49,3.71,,
May,,,2.61,1,1.1,3.03,0.25,1.67,2.67,0.43,4.45,3.89,3.25,3.88,0.21,1.84,1.73,6.42,,
June,,,3.62,7.47,3.26,2.37,4.94,2.47,5.7,3.64,5.29,2.01,2.84,2.84,1.93,3.88,2.63,3.7,,
July,,,2.39,4.26,6.32,2.45,7.04,3.87,5.36,5.24,5.93,6.48,4.42,5.17,4.23,4.12,5.05,1.34,,
August,,,5.73,5.18,1.6,3.3,2.73,2.21,6.92,4.92,5.59,4.98,1.94,3.94,3.41,7.17,4.32,2.15,,
September,,,1.43,3.04,3.03,6.68,4.59,3.34,1.51,6.66,5.59,3.28,2.77,0.69,3.07,4.09,2.01,4.94,,
October,,,5.95,4.03,3.08,5.07,4.8,5.79,8.2,3.04,2.54,6.67,3.21,9.01,2.27,5.17,5.68,6.43,,
November,,,4.92,8.75,2.6,5.27,10.35,5.64,3.35,3.82,4.78,2.69,5.9,6.82,2.84,3.35,3.01,6.83,,
December,,,7.13,11.07,1.99,1.46,6.82,6.14,2.88,3.11,0.7,9.52,3.33,1.62,0.59,9.66,2.67,8.4,,
Total,,,43.32,56.73,42.41,47.97,61.11,45.3,45.42,45.76,44,48.55,37.08,50.59,34.41,51.64,42.04,51.72,,
,,,,,,,,,,,,,,,,,,,,
1841 arithmetic,,,,,,,,,,,,,,,,,,,,
May 1843,,,,,,,,,,,,,,,,,,,,
1844 Oct,,,,,,,,,,,,,,,,,,,,
