"AFTON RES (MONTRAW)",,,,,,,,,,,,
Grid ref,NS639035,Long,-4.145654,Lat,55.306714,,,,,,,
Station no,5273/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.65,8.20,3.85,7.55,7.65,6.15,10.45,10.15,5.20,8.10,,
February,6.65,3.16,2.40,6.95,3.15,2.20,6.40,7.00,3.30,9.00,,
March,5.80,5.40,1.20,5.40,2.95,4.45,7.95,2.45,6.25,2.75,,
April,4.30,5.25,4.90,2.60,4.62,2.40,3.95,3.25,7.00,7.20,,
May,3.10,3.69,4.40,7.05,6.30,3.95,5.10,4.75,2.40,3.00,,
June,2.65,4.80,3.80,6.50,4.65,7.70,2.50,5.45,4.00,5.65,,
July,4.15,6.10,7.30,7.00,3.35,9.20,7.35,6.15,8.60,6.20,,
August,12.80,6.70,5.60,7.35,2.55,11.85,8.40,7.05,3.00,5.00,,
September,8.30,4.10,9.60,13.30,7.60,8.20,6.25,8.60,2.80,5.45,,
October,1.70,7.05,6.50,13.15,6.40,6.05,8.25,6.80,10.05,5.95,,
November,16.20,4.10,10.40,13.20,5.30,4.75,4.25,3.45,12.60,14.10,,
December,12.90,6.90,7.30,12.35,12.00,12.00,8.70,8.75,14.25,7.30,,
Total,86.20,65.45,67.25,102.40,66.52,78.90,79.55,73.85,-999.00,79.70,,
Calc annual,86.20,65.45,67.25,102.40,66.52,78.90,79.55,73.85,79.45,79.70,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1078.45,0.00,,
