"GOSFORD HOUSE GARDENS, HADDINGTON",,,,,,,,,,,,
Grid ref,NT452786,Long,-2.880161,Lat,55.997208,,,,,,,
Station no,RR7375,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.17,1.24,,
February,,,,,,,,,0.86,1.10,,
March,,,,,,,,,2.67,5.70,,
April,,,,,,,,,1.74,3.63,,
May,,,,,,,,,2.13,2.33,,
June,,,,,,,,,0.84,1.25,,
July,,,,,,,,,2.46,2.93,,
August,,,,,,,,,1.61,2.24,,
September,,,,,,,,,2.69,2.46,,
October,,,,,,,,,1.31,2.90,,
November,,,,,,,,,1.38,0.32,,
December,,,,,,,,,0.22,2.90,,
Total,,,,,,,,31.43,20.08,29.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.08,29.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.43,0.00,0.00,,
