"GOSFORD HOUSE GARDENS, HADDINGTON",,,,,,,,,,,,,,,,,,,,
Grid ref,NT452786,Long,-2.880161,Lat,55.997208,Elevation,24,ft,,,,,,,,,,,,
Station no,RR7375,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,2.17,1.24,1.88,0.88,1.19,2.04,1.47,,,,,
February,,,,,,,,,0.86,1.1,2.35,1.21,1.98,0.6,1.29,,,,,
March,,,,,,,,,2.67,5.7,1.01,1.84,1.7,2.44,3.02,,,,,
April,,,,,,,,,1.74,3.63,3.05,1.06,0.19,1.66,0.77,,,,,
May,,,,,,,,,2.13,2.33,1.76,0.86,1.5,2.03,1.78,,,,,
June,,,,,,,,,0.84,1.25,1.32,2.65,3.11,1.58,1.41,,,,,
July,,,,,,,,,2.46,2.93,3.74,1.39,1.7,0.64,3.58,,,,,
August,,,,,,,,,1.61,2.24,5.23,1.56,4.2,1.89,2.02,,,,,
September,,,,,,,,,2.69,2.46,0.83,1.13,2.96,2.36,0.75,,,,,
October,,,,,,,,,1.31,2.9,3.31,3.01,2.88,1.69,1.86,,,,,
November,,,,,,,,,1.38,0.32,2.58,4.04,1.35,1.3,2.69,,,,,
December,,,,,,,,,0.22,2.9,1.1,2.55,1.94,1.38,4.39,,,,,
Total,,,,,,,,31.43,20.08,29,28.16,22.18,24.7,19.61,25.03,,,,,
