HAYFIELD-MILL-HILL-OLD-SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK061902,Long,-1.9097043,Lat,53.408581,Elevation,1730,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/9/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
January,,,3.7,2.9,,3.45,5.45,1.93,4.2,1.85,3.47,1.61,4.05,3.8,4.55,6.25,4.51,2.45,2.65,4.67,5.79,7.88,4,6.2,2.96,4.1,3.97,4.61,9.1,2.37,4.52,7.7,5.6,2.72,3.92,,,,,
February,,,0.98,3.9,3.6,2.33,2.7,2.2,4.16,3.7,,5.02,1.49,1.51,2.42,3.3,6.26,1.11,6.1,2.38,4.54,0.9,5.87,5.8,1.41,5.29,4.15,2.48,4.92,1.11,0.71,5.69,0.45,4.37,0.49,,,,,
March,,,2.88,4.98,1.98,4.2,3.5,3.8,3.22,3.22,1.05,2.91,5.33,5.43,6.55,2.4,2.16,3.01,1.89,5.65,2.75,3.68,2.61,2.22,1.28,2.29,1.83,4.83,2.07,1.25,2.86,0.4,2.55,2.96,3.76,,,,,
April,,,2.4,2.85,2.95,3.4,2.23,2.68,2.5,2.84,5.67,3.55,1.65,4.01,2.09,1.88,3.79,1.79,2.3,2.72,6.36,1.75,2.96,3.57,2.3,2.43,2.56,4.69,1.48,1.46,3,4.7,4.8,1.42,2.86,,,,,
May,,,3.95,2.99,3.34,1.13,4.4,4.54,3.5,2.15,4,1.56,3.66,3.49,3.4,1.6,2.85,2.44,4.07,2.48,6.2,2.25,1.53,4.3,5.29,4.2,4.2,1.63,1.3,3,2.49,2.82,4.95,2.12,3.4,,,,,
June,,,2,1.5,1.43,2.97,2.05,7.97,2.03,4.02,4.37,4.65,6.42,3.16,3.5,2.23,4.74,2.19,3.16,2.79,4.6,0.62,3.81,2.13,3.19,0.22,3.2,7.2,6.42,1.64,4.1,7.33,0.88,3.68,3.3,,,,,
July,,,3.25,4.52,2.3,3.25,3.45,3.44,5,7.55,7.45,0.65,6.43,1.75,5.54,6.03,3.85,2,5.06,3.58,8.11,1.78,6.04,6.78,5.45,3.18,3.81,2.45,2.5,4.15,8.68,5.97,6.88,3.42,4.9,,,,,
August,,,4.2,6.05,5.08,4.98,5.12,5.82,3.72,3.88,7,2.78,11.2,2.96,5.97,4.98,3.41,6.62,4.71,4.84,2.67,4.9,7.08,6.07,7.69,3.9,6.06,6.35,6.04,5.38,6.45,7.65,2.04,1.88,4.1,,,,,
September,,,1.43,5.57,1.86,3.7,2.35,0.98,4.4,3.9,0.55,3.49,4.32,1.85,3.58,1.45,3.87,3.02,11.6,2.76,3.74,1.66,5.68,6.05,4.54,5.35,3.96,8.45,0.7,2.35,4.95,5.28,4.62,1.22,3.55,,,,,
October,,,6.4,10,2.3,4.9,6.55,6.5,1.1,6.52,3.48,3.58,3.78,3.24,3.2,2.48,6.36,6.31,4.41,3.1,2.18,3,1.67,5.05,6.41,5.68,4.24,4.29,6.05,5.76,7.15,2.2,8.96,5.68,7.54,,,,,
November,,,2.47,5.33,3.93,4.9,5.66,4.07,4.25,2.2,4.32,5.79,3.35,5.25,5.8,1.57,3.45,6.45,2.77,3.62,1.58,2.6,3.86,4.87,3.17,,4.84,5.38,7,8.25,5.38,6.06,3.12,3.25,3.19,,,,,
December,,,3.68,1.86,2.98,1,4.19,3.41,3.3,6.5,6.42,6.88,6.91,3.32,5.7,6.94,3.57,2.2,8.84,7.86,4.51,7.15,4.1,4.97,4.14,3.31,3.22,0.82,2.05,7.05,3.52,2,1.62,0.63,7.29,,,,,
Total,,,37.34,52.45,,40.21,47.65,47.34,41.38,48.33,,42.47,58.59,39.77,52.3,41.11,48.82,39.59,57.56,46.45,53.03,38.17,49.21,58.01,47.83,,46.04,53.18,49.63,43.77,53.81,57.8,46.47,33.35,48.3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is 670 yards ENE of the new site at the stated altitude based on the relationship between gauges notes on the record. NGR might be 200 to 300m N, if new site location is further N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1910 gauge read 2 Feb; reading left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 1929 read 2 Jan; reading left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
