ALRESFORD-OVINGTON-RECTORY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref ,SU559316,Long ,-1.2023,Lat ,51.0812,Elevation ,221,ft ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January ,,,,,,,,5.96,1.29,4.16,0.62,1.51,1.61,2.94,3.09,3.47,3.66,3.5,1.27,0.84,4.03,2.94,0.73,2.2,3.69,3.17,1.02,2.39,0.52,3.9,3.79,1.59,0.86,2.85,5.4,0.82,7.62,1.33,2.02,1.18,3.28,1.55,4.06,5.43,0.73,5.33,1.83,1.31,3.88,5.99,4.67,3.96,6.27,2.1,3.42,4.18,7.18,3.11,6.88,1.99,6.19,3.08,4.96,3.06,3.71,0.86,6.86,9.39,3.86,6.48,2.52,3.12,4.04,6.97,2.05,1.91,3.15,3.28,7.6,1.11,0.93,4.14,3.02,0.92,1.99,3.23,5.03,,,,
February ,,,,,,,,1.41,2.71,4.61,4.2,3.02,2.09,5.41,2.49,4.19,0.85,1.01,1.15,2.19,0.7,0.05,0.83,4.3,1.72,0.24,0.43,3.67,1.75,3.63,6.28,2.13,1.56,1.82,4.07,0.99,3.52,2.06,1.7,0.69,5.45,1.97,3.73,1.28,6.8,7.41,6.09,1.07,1.99,2.96,0.92,0.29,3.77,7.36,0.42,6.23,2.25,5.36,2.46,0.54,0.95,2.05,0.15,6.48,0.14,5.3,3.79,6.84,0.73,1.78,3.62,3.52,0.52,1.47,0.59,2.5,2.36,1.49,1.39,1.99,6.06,7.31,0.64,2.09,3.54,1.8,0.33,,,,
March ,,,,,,,,2.71,1.1,0.63,0.99,2.63,0.7,1.24,2.95,2.39,1.95,1.74,3.53,3.05,1.57,2.5,1.32,0.4,1.63,1.91,4.18,5.55,0.66,0.77,1.27,2.65,1.6,4.13,1.44,5.97,1.65,1.12,4.37,4.97,1.47,2.89,6.15,3.95,5.38,0.97,4.06,2.41,1.01,5.74,2.31,1.58,3.31,2.34,1.49,0.86,0.43,4.18,3.56,0.1,1.44,0.4,1.86,4.68,4.08,0.91,2.58,4.19,0.28,1.52,3.19,4.43,3.04,0.56,0.23,0.74,0.94,7.21,1.38,1.86,2.33,5.26,3.08,0.68,3.49,1.48,0.76,,,,
April ,,,,,,,,3.39,2.42,3.04,2.32,0.6,4.42,1.77,1.93,2.06,2.14,1.46,1.93,2.44,2.42,0.79,0.91,0.08,2.16,2.41,0.57,2.1,1.4,2.68,1.67,2.54,1.5,2.34,1.4,1.76,1.14,4.12,1.96,1.98,3.02,1.94,0.03,3.49,1.7,1.3,1.12,2.62,2.99,2.29,4.24,1.11,4.06,3.6,4.16,3.38,3.31,2.24,2.04,,2.5,4.14,3.85,1.33,2.89,5.09,3.19,2.47,0.03,2.15,1.09,2.26,2.2,0.79,1.57,1.18,2.66,2.7,1.93,2.28,2.8,2.59,2.2,2.86,0.41,0.51,1.63,,,,
May ,,,,,,,,2.98,3.83,3.52,0.25,0.96,1.93,2.23,0.68,3.79,4.33,1.5,2.72,3.38,2.34,2.82,0.87,0.46,2.16,0.71,0.33,1.52,3.53,1.57,1.63,1.47,2.79,3.36,4.49,0.53,1.77,2.36,2.26,1.97,2.37,2.67,1.28,2.51,1.78,4.93,1.78,2.64,2.08,0.43,1.72,2.05,1.38,2.25,4.37,4.07,2.14,1.13,1.43,,2.47,3.17,5.28,1.77,1.24,1.18,0.64,3.06,1.95,1.17,0.41,2.45,3.38,3.65,0.51,2.35,4.11,1.04,3.32,3.32,1.4,2.88,3.34,2.69,2.47,5.05,0.39,,,,
June ,,,,,,,,0.63,1.86,6.14,2.83,2.17,3.38,2.34,1.82,1.58,0.61,0.95,3.17,1.24,3.94,1.68,1.53,1.57,2.4,1.83,1.73,1.91,1.48,1.89,3.55,1.78,4.68,2.83,0.69,5.64,2.02,2.14,0.99,5.66,3.26,2,5.87,0.56,0.61,1.53,1.77,3.71,1.23,1.01,2.48,0.08,1.64,0.42,2.82,0,2.34,3.28,2.64,,0.36,1.84,2.34,5.03,1.41,4.5,3.41,1.74,0.9,2.47,0.33,1.58,0.43,1.48,2.44,2.89,4.05,2,3.06,0.55,1.67,1.43,1.44,2.39,3.21,3.58,,,,,
July ,,,,,,,,5.82,1.76,4.47,5.39,1.85,3.59,2.88,2.23,0.21,2.35,1.09,6.73,2.34,3.72,4.54,3.08,4.17,5.4,4.09,0.64,0.86,0.44,3.21,1.1,4.29,1.32,3.52,2.13,0.51,0.66,1.69,2.09,3.42,2.44,0.11,2.49,2.25,2.8,6.02,1.18,4.62,5.79,1.98,7.52,0.17,5.86,1.18,4.81,4.01,2.27,4.19,1.63,,2.26,3.81,3.74,2.49,2.36,1.34,4.92,1.02,4.01,5.51,4.23,3.12,1.55,2.41,2.79,1.97,1.89,3.67,1.34,1.92,5.64,2.66,0.42,3.64,3.55,0.66,,,,,
August ,,,,,,,2.78,3.63,4.78,6.17,2.3,5.98,1.94,1.05,1.75,0.68,1.56,2.51,1.98,2.47,3.71,6.02,3.91,1.25,1.65,1.9,2.36,3.72,1.11,2.3,3.11,2.4,3.78,2.93,3.5,2.66,1.61,2.76,4.77,2.83,3.11,0.69,7.41,1.19,2.42,2,3.18,5.49,1.98,3.74,1.37,2.74,3.17,2.89,2.67,3.2,1.85,3.9,2.46,,3.28,5.17,1.72,1.09,3.41,3.62,0.37,1.28,1.6,1.52,0.13,5.66,3.13,1.9,1.67,2.37,4.37,0.61,7.08,1.29,5.44,4.05,3.86,2.32,3.44,0.93,,,,,
September ,,,,,,,4.89,1.53,1.39,3.42,5.71,2.22,2.95,4.41,2.08,5.93,2.06,2.46,1.31,1.11,1,1.92,4.48,1.62,2.53,0.91,6.77,2.46,1.43,1.39,0.83,2.07,0.8,2.37,1.98,1.96,1.11,1.56,2.81,3.38,0.16,1.27,3.3,2.84,1.34,3.27,2.7,1.88,5.66,2.49,1.75,1.22,2.15,2.6,6.05,3.69,1.43,7.01,1.41,,3.53,2.48,3.7,3.8,2.41,5.1,3.9,1.73,1.05,1.14,2.11,0.49,2.09,1.79,2.25,1.81,5.25,1.55,3.69,2,4.39,4.08,2.88,3.56,3.57,2.33,,,,,
October ,,,,,,,2.34,2.23,3.34,0.96,4.93,1.68,7.47,2.9,1.05,3.8,4.7,1.57,1.73,4.71,1.34,10.13,5.07,3.72,4.67,3.06,2.66,0.79,4.8,3.03,2.46,2.57,2.08,,2.24,2.37,7.12,7.56,2.05,8.76,5.2,4.73,4.64,4.84,2.45,3.81,7.76,5.18,1.58,0.97,3.93,0.85,1.63,6.65,4.75,3.66,2.99,2.41,8.43,,2.09,0.75,5.96,2.81,1.74,5.92,1.81,4.29,3.7,5.69,4.6,1.62,3.63,4.25,6.09,3.56,1.2,1.15,2.41,8.84,0.87,0.78,5.62,5.02,3.47,5.22,,,,,
