"GARELOCHEAD AIKENSHAW",,,,,,,,,,,,
Grid ref,NS235874,Long,-4.835345,Lat,56.046833,,,,,,,
Station no,5322,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,7.30,7.30,10.10,5.70,8.70,8.30,,
February,,,,,6.30,6.30,4.70,5.40,5.60,4.10,,
March,,,,,3.65,4.70,6.40,7.00,6.40,1.90,,
April,,,,2.15,8.35,3.10,2.50,3.40,1.90,4.80,,
May,,,,2.95,4.30,2.95,7.50,5.80,4.00,3.70,,
June,,,,3.00,3.60,3.80,1.50,9.00,3.60,3.60,,
July,,,,5.70,3.70,4.30,4.10,2.80,7.80,4.70,,
August,,,,9.35,5.80,6.80,5.30,8.50,4.70,3.70,,
September,,,,6.00,7.50,3.50,3.20,2.35,9.90,2.50,,
October,,,,11.00,4.90,6.50,9.40,5.75,2.00,9.40,,
November,,,,5.60,3.80,6.50,6.50,6.80,6.00,4.20,,
December,,,,7.90,8.80,8.00,5.00,8.70,7.70,9.80,,
Total,,,,,68.00,63.75,66.20,71.20,68.30,60.70,,
Calc annual,0.00,0.00,0.00,53.65,68.00,63.75,66.20,71.20,68.30,60.70,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
