"STOURPORT, HARTLEBURY",,,,,,,,,,,,,,,,,,,,
Grid ref,SO842700,Long,-2.2332649,Lat,52.327862,Elevation,278,ft,,,,,,,,,,,,
Station no,RR4441,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.79,1.02,2.04,3.59,2.62,1.61,3.06,3.8,0.47,0.55,3.13,2.23,2.16,,,,,,,
February,3.05,4.12,2.02,2.67,1.37,2.8,1,0.86,0.62,1.47,0.55,0.03,1.01,,,,,,,
March,1.44,1.82,1.6,1.44,2.02,1.05,3.1,1.05,2.53,2.48,1.16,0.4,0.55,,,,,,,
April,2.33,0.7,3.54,0.76,1.63,2.26,2.05,0.73,1.24,3.73,1.01,1.76,0.66,,,,,,,
May,2.09,1.42,2.43,0.9,1.2,3.18,5.84,1.63,0.56,3.46,1.8,3.02,2.04,,,,,,,
June,4.42,2.3,3.05,2.56,2.09,3.5,1.24,1.76,2.37,1.86,2.4,1.71,2.59,,,,,,,
July,5.08,1.63,3.41,3.14,2.9,0.12,2.75,1.1,4.49,1.53,1.73,1.82,1.69,,,,,,,
August,0.5,4.69,2.11,0.74,1.65,3.8,1.6,2.36,2.6,2.56,2.51,4.2,3.38,,,,,,,
September,3.97,2.21,1.8,4.83,1.27,3.24,3.43,1.73,0.74,1.78,0.98,0.91,2.38,,,,,,,
October,4.23,2.28,5.28,2.52,0.99,3.01,3.36,1.9,0.5,2.52,1.14,5.75,1.64,,,,,,,
November,2.06,2.47,3.95,4.18,1.58,3.02,1.9,2.26,4.72,1.04,2.32,2.17,2.43,,,,,,,
December,3.34,2.7,2.74,0.64,1.83,0.48,3.5,1.64,2.24,1.53,1,2.79,1.14,,,,,,,
Total,33.3,27.36,33.97,27.97,21.15,28.07,32.83,20.82,23.08,24.51,19.73,26.79,21.67,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Observer, J Watson, lived at Waresley Court through the period of recording",,,,,,,,,,,,,,,,,,,,
Records state 300 or 320' - nothing that high in the area so elevation taken as 278' as at the Court and NGR,,,,,,,,,,,,,,,,,,,,
