"FRIERN BARNET SEWAGE WORKS",,,,,,,,,,,,
Grid ref,TQ288915,Long,-0.141426,Lat,51.607612,,,,,,,
Station no,RR4107,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.74,0.46,0.77,1.86,2.39,,,,,,,
February,3.01,0.90,1.25,0.55,2.60,,,,,,,
March,0.61,1.77,1.65,2.03,1.87,,,,,,,
April,0.88,1.89,0.51,1.79,0.84,,,,,,,
May,0.91,1.01,2.06,2.20,1.94,,,,,,,
June,2.43,0.96,3.06,6.05,0.67,,,,,,,
July,1.40,4.35,1.10,3.91,2.00,,,,,,,
August,2.40,1.55,5.10,4.17,1.65,,,,,,,
September,0.67,1.57,0.90,2.65,1.31,,,,,,,
October,1.71,1.81,1.28,5.18,1.37,,,,,,,
November,2.09,0.58,1.79,1.69,1.83,,,,,,,
December,2.75,3.12,1.29,1.40,1.71,,,,,,,
Total,21.60,19.97,20.76,33.48,20.18,,,,,,,
Calc annual,21.60,19.97,20.76,33.48,20.18,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
