FRIERN-BARNET-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ287915,Long,-0.14286896,Lat,51.607635,Elevation,156,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,0.99,0.85,2.49,1.98,0.65,1.43,2.6,1.8,0.59,1.86,0.64,2.16,2.74,0.46,0.77,1.86,2.39,,,,,
February,,,,,,,,,0.76,2.04,1.01,0,1.29,2.81,1.59,0.06,0.29,2.55,1.02,1.78,3.01,0.9,1.25,0.55,2.6,,,,,
March,,,,,,,,,3.75,1.65,2.02,1.49,1.1,0.27,1.1,1.67,2.99,3.29,1.05,0.42,0.61,1.77,1.65,2.03,1.87,,,,,
April,,,,,,,,,2.01,1.65,1.63,0.85,0.96,0.09,1.77,1.14,0.48,1.83,1.09,2.29,0.88,1.89,0.51,1.79,0.84,,,,,
May,,,,,,,,,1.05,3.65,1.48,3.12,1.4,0.69,1.61,0.33,0.18,1.44,2.25,1.19,0.91,1.01,2.06,2.2,1.94,,,,,
June,,,,,,,,,2.65,2.27,2.87,1.01,2.63,0.72,1.73,0.4,1.49,2.33,1.41,2.24,2.43,0.96,3.06,6.05,0.67,,,,,
July,,,,,,,,,3.94,2.45,4.44,3.08,1.45,2.24,2.95,3.61,0.93,1.15,0.62,1.78,1.4,4.35,1.1,3.91,2,,,,,
August,,,,,,,,,3.05,2.55,2.55,4.69,3.09,1.47,2.82,2.6,1.46,2.49,1.08,0.66,2.4,1.55,5.1,4.17,1.65,,,,,
September,,,,,,,,,0.84,1.96,0.83,1.21,3.08,0.95,0.95,0.97,6,2.67,0.33,2.48,0.67,1.57,0.9,2.65,1.31,,,,,
October,,,,,,,,,1.19,4.22,1.13,5.27,3.82,3.65,3.55,2.93,2.77,0.6,3.28,2.04,1.71,1.81,1.28,5.18,1.37,,,,,
November,,,,,,,,,4.5,0.95,1.95,2.13,2.58,2.15,2.83,3.29,1.06,0.93,1.65,3.78,2.09,0.58,1.79,1.69,1.83,,,,,
December,,,,,,,,,1.09,1.25,0.56,3.39,1.32,2.13,2.14,2,3.56,2.27,2.14,1.11,2.75,3.12,1.29,1.4,1.71,,,,,
Total,,,,,,,,,25.82,25.49,22.96,28.22,23.37,18.6,25.64,20.8,21.8,23.41,16.56,21.93,21.6,19.97,20.76,33.48,20.18,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Friern Barnet Sewage Works. Stated altitude appears 25ft too high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
