"LETHEN",,,,,,,,,,,,
Grid ref,NH938517,Long,-3.775848,Lat,57.542912,,,,,,,
Station no,5685,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.34,2.26,1.33,1.77,1.48,2.08,2.43,3.64,2.92,2.57,,
February,2.52,1.36,1.81,1.02,2.13,2.52,1.67,3.12,0.70,1.94,,
March,2.47,1.66,0.99,1.52,1.67,0.84,3.83,1.40,0.97,0.57,,
April,4.51,0.72,3.01,1.19,1.02,2.23,0.61,1.52,2.98,1.73,,
May,0.75,1.45,2.91,4.15,3.07,1.23,0.83,3.87,0.75,0.22,,
June,2.95,2.11,4.87,2.28,0.91,2.94,2.27,2.67,2.55,3.28,,
July,3.45,2.45,4.70,4.12,0.60,7.68,6.76,3.99,2.77,3.28,,
August,5.53,4.37,2.68,2.18,0.58,4.88,6.58,3.66,1.49,8.67,,
September,0.77,3.07,2.46,1.90,2.01,3.33,2.67,2.21,0.82,2.20,,
October,1.45,1.91,1.01,6.10,3.80,3.06,1.29,1.42,3.08,3.11,,
November,4.32,3.61,2.50,1.79,0.72,1.72,2.95,1.00,3.25,1.24,,
December,3.69,3.03,2.79,4.90,5.77,3.00,2.72,2.11,1.47,1.29,,
Total,34.75,28.00,31.06,32.92,23.76,35.51,34.61,30.61,23.75,30.10,,
Calc annual,34.75,28.00,31.06,32.92,23.76,35.51,34.61,30.61,23.75,30.10,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
