LETHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 93614 51697,Long,-3.778952,Lat,57.542837,Elevation ,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,0.86,1.74,3.56,2.76,1.39,1.49,1.49,3.06,2.69,2.42,4.02,0.83,1.78,3.26,1.34,,,,,,,
February,,,,,,,,,,0.49,1.05,1.76,0.57,2.99,0.6,2.17,1.67,3.08,1.17,1.09,0.95,3.39,1.98,2.32,,,,,,,
March,,,,,,,,,,0.29,1.09,1.2,3.67,0.43,3.63,1.35,1.21,2.1,1.09,2.26,2.93,1.94,0.45,1.68,,,,,,,
April,,,,,,,,,,2.48,1.45,2,4.11,2.6,4.37,2.94,0.78,0.54,0.66,1.42,1.9,1.31,1.52,1.17,,,,,,,
May,,,,,,,,,,2.66,1.27,2.64,3.48,1.6,2.25,1.75,1.24,1.35,2.28,0.89,2.25,3.86,2.89,3.83,,,,,,,
June,,,,,,,,,,2.13,1.31,3.47,0.21,2.75,1.42,3.56,1.65,2.97,4.31,1.71,0.68,0.64,0.88,2.56,,,,,,,
July,,,,,,,,,,2.69,4.87,4.46,3.46,2.42,4.46,1.78,5.54,4.24,5.06,5.92,9.29,1.37,2.65,1.12,,,,,,,
August,,,,,,,,,,3.34,4.95,2.83,1.35,2.34,1.87,3.13,2.62,2.64,1.88,1.38,1.46,7.11,2.42,3.49,,,,,,,
September,,,,,,,,,,1.69,3.73,1.88,3.31,0.88,0.83,4.94,2.11,1.48,4.07,1.77,2.23,0.61,2.29,3.35,,,,,,,
October,,,,,,,,,,3.75,4.26,2.31,5.27,4.57,3.34,6.13,2.24,2.23,3.81,2.27,4.16,3.5,3.12,,,,,,,,
November,,,,,,,,,,1.75,4.49,1.62,3.62,0.87,1.61,2.57,1.44,0.72,2.98,2.5,5.45,1.97,1.5,,,,,,,,
December,,,,,,,,,,2.01,1.39,1.24,1.76,0.4,2.27,2.16,2.5,2.48,1.16,2.85,3.73,2.35,1.01,,,,,,,,
Total,,,,,,,,,,24.14,31.6,28.97,33.57,23.24,28.14,33.97,26.06,26.52,30.89,28.08,35.86,29.83,23.97,,,,,,,,
