EDINBURGH CANAAN COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT251713,Long,-3.199,Lat,55.9295,Elevation,246,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.23,2.23,0.87,1.31,0.55,3.33,1.7,2.49,0.95,0.66,0.61,0.57,3.28,1.08,4.06,1.23,2.47,1.76,3.72,1.23,1.01,1.69,1.23,1.77,2.64,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.5,3.85,1.7,0.69,1.77,1.58,0.98,1.61,1.21,3.88,1.42,2.53,0.86,2.48,1.62,2.14,1.21,1.45,1.58,1.64,1.11,1.38,1.72,0.61,1.6,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,3.57,0.66,1.34,0.43,1.33,4.84,1.18,0.32,1.78,1.97,1.29,1.43,1.65,2.28,3.79,1.28,2.76,1.47,0.43,0.6,3.44,0.99,2.42,1.67,0.97,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.41,1.68,0.57,1.41,1.52,2.74,1.42,3.35,2.28,1.54,1.21,1.34,0.44,0.79,1.54,1.61,1.78,0.33,0.19,1.14,0.15,1.87,0.4,0.4,2.88,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.8,2.35,0.63,3.25,1.25,1.28,1.85,0.77,1.96,0.69,1.35,0.79,0.51,2.04,0.56,1.53,2.9,0.47,3.97,1.14,1.45,2.99,0.15,2.24,1.27,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,1.36,1,2.01,2.05,0.3,1.62,0.81,2.03,2.54,1.41,2.89,3.48,1.45,1.02,2.5,2.86,5.16,3.91,2.75,1.56,0.97,2.26,2.71,3.08,3.59,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,4.53,4.25,1.58,0.15,2.31,2.27,4.57,4.48,6.57,2.44,1.14,1.53,3.2,1.37,6.53,4.54,2.45,3.51,3.46,3.87,1.53,3.59,2.39,1.72,4.17,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.36,3.87,1.5,1.89,1.83,4.89,3.43,6.8,6.69,4.03,3.64,1.16,1.18,1.99,2.45,4.13,2.97,1.77,1.99,3.64,1.36,1.4,2.11,3.48,5.01,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,1.27,1.82,1.62,2.85,1.01,1.15,2.31,1.77,3.63,1.55,0.92,2.37,4.5,5.43,2.81,1.73,4,3.09,2.39,2.63,1.45,0.89,2.7,1.77,3.35,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.39,3.1,4.73,2.19,1.38,4.97,0.86,2.53,0.16,2.15,5.53,1.13,1.23,2.09,1.66,2.02,1.55,2.38,2.01,4.53,0.98,4.2,0.82,6.14,3.6,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,2.12,1.07,4.38,3.91,0.76,1.02,3.94,2.48,3.13,2.95,0.95,0.71,1.22,2.76,3.05,2.03,3.06,1.65,2.33,2.28,1.63,2.2,3.92,1.7,1.74,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,1.6,4.38,3.88,1.99,1.26,2.9,2.18,1.33,2.35,1.26,2.28,3.84,1.52,1.89,2.46,1.67,0.73,1.66,0.68,1.53,1.79,0.34,0.37,2.04,0.72,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,26.14,30.26,24.81,22.12,15.27,32.59,25.23,29.96,33.25,24.53,23.23,20.88,21.04,25.22,33.03,26.77,31.04,23.45,25.5,25.79,16.87,23.8,20.94,26.62,31.54,22.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1820 - value from Nelson Monument removed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1822 May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1833 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1845 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
