SEATON-THE-COPSE,,,,,,,,,,,
Grid ref,SY236904,Long,-3.08284,Lat,50.70867,Elevation,220,ft,,,
Station no,1811,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.92,3.15,4.71,2.16,4.81,4.88,4.63,3.67,6.2,1.7,4.94
February,0.53,0.27,3.46,7.25,1.07,4.91,3.08,3.46,3.35,2.04,1.44
March,3.13,1.87,3.36,1.65,1.44,0.31,0.81,4.47,3.19,0.25,2.42
April,4.71,0.93,3.49,3.15,3.16,3.1,2.55,2.11,1.57,1.12,3.28
May,1.94,1.94,0.89,1.22,4.76,3.99,1.21,1,1.47,2.66,2.07
June,2.19,0.85,0.98,0.46,2.86,0,3.67,2.63,1.89,2.32,0.27
July,4.75,0.48,3.78,1.15,4.06,3.21,3.42,2.8,1.75,1.45,1.72
August,1.48,2.15,4.96,2.29,3.96,2.54,1.54,3.54,1.95,2.74,3.32
September,1.5,0.79,2.07,3.36,5.7,3.38,1.15,5.6,1.69,0.55,4.75
October,2.51,1.81,1.65,5.9,5.99,4.34,3.09,2.58,6.04,4.16,3.4
November,1.42,3.4,2.12,2.22,3.45,2.72,7.93,4.09,3.78,8.75,5.36
December,3.92,1.8,4.64,3.58,5.13,5.22,0.51,3.97,2.9,6.58,4.63
Total,33,19.44,36.11,34.39,46.39,38.6,33.59,39.92,35.78,34.32,37.6
,,,,,,,,,,,
BR has no 1919 entry,,,,,,,,,,,
Gauge 250yds SW of gauge at Seaton Homermead,,,,,,,,,,,
1920 Mar 25 Gauge moved 80yds E,,,,,,,,,,,
1931 Unable to continue due to failing eyesight,,,,,,,,,,,
