"ALDRIDGE (BOURNE VALE)",,,,,,,,,,,,
Grid ref,SP074997,Long,-1.892190,Lat,52.595047,,,,,,,
Station no,2334,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.18,2.56,1.01,1.24,2.24,4.00,1.19,2.01,3.14,5.39,,
February,2.64,0.44,1.23,2.25,2.50,0.68,2.40,4.53,0.27,2.22,,
March,4.60,2.05,1.46,2.19,3.35,1.15,2.25,1.61,1.64,1.90,,
April,2.28,2.16,2.44,0.48,1.23,1.77,0.22,0.71,3.39,1.07,,
May,3.44,2.72,2.02,2.30,4.20,0.63,0.94,2.08,0.93,1.15,,
June,1.07,1.86,2.04,3.33,3.14,1.63,1.34,3.92,0.80,2.68,,
July,0.90,1.46,2.45,3.58,0.59,2.73,2.96,5.84,2.76,3.69,,
August,4.71,2.68,2.17,4.89,0.71,4.58,4.61,3.09,3.02,3.81,,
September,1.95,1.28,2.31,1.58,1.94,2.81,4.58,3.51,0.18,5.46,,
October,0.67,3.86,1.76,3.27,1.69,1.39,1.35,2.37,2.95,6.17,,
November,6.53,2.42,1.55,5.24,2.52,0.75,2.13,1.82,4.00,3.78,,
December,2.51,2.99,1.28,2.57,2.06,2.91,2.11,3.12,3.78,3.58,,
Total,33.48,26.48,21.72,32.92,26.17,25.03,26.08,34.61,26.86,40.90,,
Calc annual,33.48,26.48,21.72,32.92,26.17,25.03,26.08,34.61,26.86,40.90,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
