BUDE-BRAMBLE-HILL-(FLEXBURY-HALL),,,,,,,,
Grid ref,SS212072,Long,-4.53985,Lat,50.83674,Elevation,50,ft
Station no,RR7241,,,,,,,
,,,,,,,,
,1925,1926,1927,1928,1929,1930,,
January,,5.68,5.56,6.45,,,,
February,,3.14,2.15,3.27,,,,
March,,0.54,3.54,3.96,,,,
April,,1.83,2.34,1.63,,,,
May,,1.51,1.06,1.24,,,,
June,0,1.4,3.21,2.3,,,,
July,4.22,2.15,3.24,2.03,,,,
August,3.74,3.18,4.73,3.86,,,,
September,3.64,1.62,7.74,1.85,,,,
October,3.57,2.7,2.95,6.07,,,,
November,3.83,7.74,3.46,4.74,,,,
December,4.64,0.98,3.38,5.14,,,,
Total,,32.47,43.36,42.54,,,,
,,,,,,,,
1925 May Gauge moved from Bramble Hill,,,,,,,,
1925 June Zero in many places,,,,,,,,
1930 Gauge moved to Bude Golf Club Ends 1932,,,,,,,,
