BUDE-BRAMBLE-HILL,,,,,,,,,,,,,,,,
Grid ref,SS211064,Long,-4.54154,Lat,50.8295,Elevation,80,ft,,,,,,,,
Station no,RR7241,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
January,,,,,1.45,4.3,1.61,1.86,4.75,5.11,5.93,4.21,4.1,2.8,4.81,3.23
February,,,,,3.55,5.97,6.39,1.51,2.12,3.52,1.21,0.28,4.21,6.93,1.56,6.19
March,,,,,5.86,0.89,3.33,2.75,1.92,4.14,3.81,3.42,3.18,1.05,2.05,0.98
April,,,,,1.85,1.48,1.04,1.86,2.34,2.43,4.2,0.96,3.49,2.59,3.06,2.86
May,,,,,1.26,2.62,1.72,1.73,1.1,1.4,1.89,1.52,1.68,2.5,2.98,
June,,,,,2.04,2.05,2.09,5.37,1.26,1.07,3.06,0.04,1.15,1.31,1.95,
July,,,,,4.01,3.71,0.91,2.21,4.31,0.79,4.33,1.63,3.01,2.85,5.19,
August,,,,,4.04,2.19,1.97,4.16,2.72,2.86,2.11,4.07,2.54,2.18,4.96,
September,,,,,2.37,2.42,2.06,2.29,8.24,1.92,3.99,2.33,2.18,3.34,3.83,
October,,,,,1.97,4.13,5.34,6.3,2.94,1.2,6.69,1.5,1.88,5.94,5.37,
November,,,,,3.41,2.33,3.9,2.99,3.82,4.14,2.84,3.16,1.92,3.89,2.58,
December,,,,,7.01,7.51,4.03,1.4,5.23,6.13,3.26,3.29,6.45,4.32,4.79,
Total,,,,,38.82,39.6,34.39,34.43,40.75,34.71,43.32,26.41,35.79,39.7,43.13,
,,,,,,,,,,,,,,,,
Bramblebury Bramble Hill,,,,,,,,,,,,,,,,
Exact house not found but road very short and E side same elevation all along,,,,,,,,,,,,,,,,
1924 Oct 18 Gauge moved 300yds S to Uphill 42 Killerton Rd,,,,,,,,,,,,,,,,
Uphill elevation similar to Bramble Hill so left as one location,,,,,,,,,,,,,,,,
1925 May Gauge moved to Bude Flexbury Hall 0.7 miles N,,,,,,,,,,,,,,,,
