WHITTLESEA MERE,,,,,,,,,,,,
Grid ref,TL237904,Long,-0.179257,Lat,52.497485,,,,,,,
Station no,1157,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.18,1.10,1.05,0.67,1.62,3.32,0.80,2.36,2.68,2.70,,
February,2.44,0.40,1.24,1.87,1.91,0.62,2.14,2.43,0.20,1.56,,
March,2.58,2.40,0.88,2.08,1.54,0.44,1.29,0.91,1.70,1.95,,
April,2.43,1.38,1.79,0.27,0.49,1.03,0.12,0.66,1.15,0.34,,
May,3.25,1.70,1.39,3.52,2.56,0.98,1.28,2.47,0.56,1.02,,
June,1.37,0.94,2.68,2.42,2.11,2.36,1.41,5.38,2.31,2.36,,
July,0.72,0.34,1.88,1.94,0.09,3.01,2.61,2.36,2.49,2.59,,
August,4.46,2.47,2.40,4.83,1.21,3.11,2.63,2.43,1.55,2.22,,
September,1.80,2.48,0.89,1.93,1.19,1.06,4.16,2.45,0.19,3.53,,
October,0.80,2.66,2.13,2.56,1.83,1.23,1.18,1.46,1.31,4.68,,
November,2.84,2.48,1.18,3.72,0.81,0.68,1.31,1.43,1.42,3.01,,
December,1.20,1.37,0.49,2.12,1.17,1.54,1.64,2.31,3.29,3.02,,
Total,26.07,19.72,18.00,27.93,16.53,19.38,20.57,26.65,18.85,28.98,,
Calc annual,26.07,19.72,18.00,27.93,16.53,19.38,20.57,26.65,18.85,28.98,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
