BEVERLEY BROADGATE HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA015377,Long,-0.459,Lat,53.826,Elevation,175,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956
January,,1.09,0.90,1.06,1.83,3.33,0.67,1.85,0.55,1.98,3.30,0.89,1.05,1.66,2.04,0.48,3.25,0.91,1.52,0.92,2.12,1.20,2.87,3.49,1.80,3.42,0.85,3.10,1.43,3.23,2.53,2.57,2.46,1.40,2.40,1.41,2.65,1.37,5.50,1.71,3.14,2.29,1.69,1.60,1.64,2.07,3.87,3.43,2.18,4.27,2.35,3.06,3.04,3.59,2.12,4.04,2.31,2.42,4.64,0.83,0.82,1.65,2.09,0.89,1.89,1.50,4.92
February,,0.09,1.60,2.74,2.55,0.35,0.80,2.24,1.63,1.18,3.43,2.09,1.26,1.22,2.53,1.61,2.15,1.58,1.94,1.29,2.27,1.26,1.34,0.65,0.94,3.43,3.48,0.83,1.67,2.07,1.60,0.33,2.67,3.70,1.19,2.74,1.65,1.20,1.74,0.81,0.58,2.59,0.61,4.58,2.18,3.03,2.78,2.76,1.03,1.26,1.84,2.91,1.06,0.35,1.92,1.84,2.20,3.19,1.15,0.61,4.14,2.68,0.74,1.71,2.28,1.93,
March,,1.09,1.04,0.40,1.07,1.85,2.12,2.98,1.29,1.58,0.57,1.88,1.78,2.62,2.11,2.64,2.00,1.31,2.68,3.06,0.77,2.06,3.16,2.67,2.16,0.93,3.29,1.76,0.99,3.12,2.14,1.27,1.64,1.44,1.08,1.09,0.59,1.35,2.30,0.15,1.76,1.09,2.13,2.44,2.21,0.63,1.34,2.69,0.18,2.30,1.86,2.81,1.09,0.42,0.47,0.49,1.33,4.38,0.59,1.08,1.49,2.94,2.31,0.48,2.02,2.42,
April,,1.77,1.71,0.40,1.53,1.21,1.03,1.49,3.05,2.01,1.20,1.48,1.29,1.83,1.41,2.24,1.08,1.57,2.72,2.41,2.09,1.58,0.20,1.60,0.57,0.72,1.57,1.76,1.97,1.71,4.22,1.32,1.83,1.59,1.34,2.37,1.85,2.52,0.78,1.25,2.07,3.39,2.65,1.04,2.72,2.28,2.19,3.45,0.17,1.18,1.70,1.42,1.07,0.78,2.62,1.65,1.07,1.40,1.99,1.88,2.62,1.33,1.35,2.20,0.34,0.72,
May,,2.59,3.32,1.19,1.91,0.47,0.55,1.07,2.21,3.17,1.53,0.59,2.52,3.77,1.84,0.63,1.67,4.22,1.74,1.21,2.41,0.76,3.38,2.75,1.67,1.83,2.50,1.38,2.39,1.00,2.68,1.88,0.86,3.84,3.86,2.31,1.62,1.24,1.01,1.48,1.43,2.81,5.13,2.17,0.95,0.49,1.61,3.83,3.64,2.15,0.93,1.49,3.37,2.78,1.38,1.17,1.65,0.56,2.21,1.29,2.43,3.28,1.48,1.71,2.22,3.33,
June,,1.04,4.06,1.49,4.53,2.17,2.44,2.27,2.45,1.87,2.25,2.10,2.41,1.92,0.70,2.03,1.12,3.82,1.03,5.30,1.88,3.85,4.79,0.72,1.51,0.26,2.71,1.54,0.46,0.76,0.89,0.32,1.08,0.52,2.35,0.06,4.63,3.12,3.19,1.25,1.33,3.97,0.49,2.67,1.12,2.94,3.54,1.62,2.29,2.75,0.62,0.21,1.42,1.65,1.81,2.27,2.99,2.44,5.12,0.50,0.89,1.36,2.17,2.27,1.83,2.08,
July,,3.69,1.95,2.09,3.30,5.49,1.01,0.23,0.44,1.25,1.39,0.85,2.73,3.35,2.52,1.28,1.15,1.22,2.47,3.68,3.26,0.78,7.26,0.23,3.94,5.95,2.60,1.69,2.96,2.34,4.82,0.76,5.02,2.51,3.92,0.92,1.55,2.72,0.41,1.49,4.90,3.80,1.88,0.94,1.40,0.28,3.52,2.09,3.78,2.35,6.50,3.27,2.19,0.83,2.77,1.33,2.66,1.52,1.14,2.78,2.98,1.32,1.73,2.23,1.70,1.03,
August,4.50,3.57,2.47,2.81,2.07,2.16,1.53,3.18,3.52,0.84,4.71,4.25,2.03,3.33,3.35,3.66,1.71,2.50,2.16,4.65,3.13,2.33,4.66,0.58,2.27,3.02,3.22,4.26,3.20,2.99,1.77,4.16,2.95,2.57,3.23,1.58,2.35,6.56,4.48,1.71,2.65,2.82,1.42,0.43,2.40,1.79,1.48,1.11,2.13,2.04,0.82,2.72,1.64,2.89,4.02,2.47,5.32,0.44,3.32,1.70,2.65,5.70,1.78,2.96,6.20,0.79,
September,1.48,1.39,1.54,1.94,0.74,0.82,4.01,3.00,0.53,3.65,1.11,1.01,0.77,3.52,1.94,1.97,0.82,0.70,2.37,1.38,0.29,2.91,1.80,1.56,1.60,0.99,1.09,0.87,4.54,1.39,1.44,0.49,1.92,3.01,2.49,2.53,0.60,4.00,0.47,0.59,3.13,3.22,2.23,2.80,1.66,4.53,2.27,1.58,1.78,0.77,1.05,0.92,2.43,4.27,4.18,1.15,3.95,1.01,1.73,0.57,3.07,1.03,3.66,0.69,2.27,0.70,
October,1.45,3.01,5.87,1.62,4.97,3.39,5.29,1.38,3.70,2.65,2.96,1.90,2.73,7.08,0.68,2.15,5.35,4.39,1.03,2.67,2.91,2.36,3.63,3.55,2.50,1.35,3.54,3.12,1.21,4.50,1.09,1.49,1.13,1.63,3.12,2.04,2.08,2.45,4.28,2.53,2.52,1.34,3.44,6.01,1.58,5.14,1.67,2.48,3.34,3.79,3.39,2.29,1.52,1.27,2.45,2.52,1.23,0.74,1.58,3.23,1.24,1.17,2.27,1.54,4.57,1.93,
November,3.26,2.84,1.66,3.60,1.44,2.61,1.54,2.54,2.04,1.16,2.78,4.30,1.65,1.80,1.66,3.69,3.78,2.29,1.52,2.51,3.51,3.36,2.53,2.48,2.90,2.44,3.04,1.43,1.40,2.37,0.93,2.19,1.60,2.52,1.69,2.85,2.33,2.73,3.01,4.22,3.99,3.54,1.70,2.93,2.30,4.36,3.03,2.41,2.96,3.87,4.28,2.85,0.90,2.12,3.60,0.68,5.61,1.80,0.82,4.24,4.33,4.23,2.63,1.95,4.81,1.16,
December,0.87,2.71,1.08,2.76,2.11,2.36,4.04,1.83,2.41,3.02,3.02,3.66,2.23,1.11,1.73,0.45,1.91,3.15,1.80,4.76,2.89,3.82,2.08,1.72,4.96,5.41,2.68,1.46,3.35,3.32,3.32,2.36,2.21,2.92,1.95,3.00,0.54,2.44,1.98,5.68,1.84,1.18,1.14,0.48,4.17,2.57,1.36,5.13,3.86,1.92,1.64,0.51,1.62,1.10,1.21,1.40,2.58,1.68,2.13,2.43,2.74,1.95,1.63,1.30,2.38,2.93,
Total,,24.88,27.20,22.10,28.05,26.21,25.03,24.06,23.82,24.36,28.25,25.00,22.45,33.21,22.51,22.83,25.99,27.66,22.98,33.84,27.53,26.27,37.70,22.00,26.82,29.75,30.57,23.20,25.57,28.80,27.43,19.14,25.37,27.65,28.62,22.90,22.44,31.70,29.15,22.87,29.34,32.04,24.51,28.09,24.33,30.11,28.66,32.58,27.34,28.65,26.98,24.46,21.35,22.05,28.55,21.01,32.90,21.58,26.42,21.14,29.40,28.64,23.84,19.93,32.51,20.52,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The November and December 1925 figures and 1925 total are shown in brackets on the sheet without explanation. They have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The March 1927 figure is shown in brackets and is identified as corrected on the sheet and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
