"BEVERLEY EAST RIDING ASYLUM",,,,,,,,,,,,
Grid ref,TA016377,Long,-0.457942,Lat,53.825647,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.30,0.89,1.05,1.66,2.04,0.48,3.25,0.91,1.52,0.92,,
February,3.43,2.09,1.26,1.22,2.53,1.61,2.15,1.58,1.94,1.29,,
March,0.57,1.88,1.78,2.62,2.11,2.64,2.00,1.31,2.68,3.06,,
April,1.20,1.48,1.29,1.83,1.41,2.24,1.08,1.57,2.72,2.41,,
May,1.53,0.59,2.52,3.77,1.84,0.63,1.67,4.22,1.74,1.21,,
June,2.25,2.10,2.41,1.92,0.70,2.03,1.12,3.82,1.03,5.30,,
July,1.39,0.85,2.73,3.35,2.52,1.28,1.15,1.22,2.47,3.68,,
August,4.71,4.25,2.03,3.33,3.35,3.66,1.71,2.50,2.16,4.65,,
September,1.11,1.01,0.77,3.52,1.94,1.97,0.82,0.70,2.37,1.38,,
October,2.96,1.90,2.73,7.08,0.68,2.15,5.35,4.39,1.03,2.67,,
November,2.78,4.30,1.65,1.80,1.66,3.69,3.78,2.29,1.52,2.51,,
December,3.02,3.66,2.23,1.11,1.73,0.45,1.91,3.15,1.80,4.76,,
Total,28.25,25.00,22.45,33.21,22.51,22.83,25.99,27.66,22.98,33.84,,
Calc annual,28.25,25.00,22.45,33.21,22.51,22.83,25.99,27.66,22.98,33.84,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
