"SLAITHWAITE (DEANHEAD RES)",,,,,,,,,,,,
Grid ref,SE039151,Long,-1.942498,Lat,53.632412,,,,,,,
Station no,3200/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.16,5.97,1.78,4.91,2.44,7.35,6.25,3.64,4.19,5.94,,
February,4.32,1.77,2.51,3.83,2.17,1.77,4.57,4.87,0.28,3.00,,
March,6.09,3.07,2.99,3.51,2.32,2.14,4.89,2.07,1.76,2.18,,
April,3.42,4.18,3.84,0.79,2.76,3.90,0.55,1.01,4.85,3.24,,
May,3.92,2.35,2.87,3.99,4.88,2.24,1.59,5.38,2.38,2.40,,
June,1.27,3.84,3.00,3.20,4.04,3.77,1.52,5.53,2.51,1.94,,
July,4.02,2.60,6.35,6.24,1.18,7.41,5.76,6.16,3.70,7.77,,
August,6.95,5.67,5.54,7.02,1.07,13.11,5.87,5.42,0.58,6.89,,
September,3.35,4.45,4.85,7.72,2.94,5.73,7.40,5.71,0.53,3.25,,
October,1.50,6.84,2.33,9.93,3.04,3.43,8.83,4.84,4.50,5.91,,
November,10.74,2.60,6.08,8.37,2.45,2.24,3.78,1.44,5.27,9.06,,
December,9.28,4.43,2.66,7.78,7.41,6.23,4.10,4.83,8.23,5.43,,
Total,60.02,47.77,44.80,67.29,36.70,59.32,55.11,50.90,38.78,57.01,,
Calc annual,60.02,47.77,44.80,67.29,36.70,59.32,55.11,50.90,38.78,57.01,,
Difference,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
