"BURLINGHAM (HORTICULTURAL STN.)",,,,,,,,,,,,
Grid ref,TG373101,Long,1.505642,Lat,52.636720,,,,,,,
Station no,1426/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.15,2.09,1.90,1.75,1.67,3.41,1.29,1.98,2.76,3.91,,
February,2.93,0.82,1.44,2.08,1.78,2.20,2.10,3.53,0.18,1.41,,
March,2.85,1.91,0.38,2.21,1.80,0.84,1.96,1.41,0.92,1.09,,
April,3.65,1.10,2.00,0.37,0.27,0.86,0.53,0.94,1.78,0.75,,
May,1.69,1.26,0.88,1.53,2.00,0.56,1.43,3.09,0.40,0.25,,
June,0.89,1.82,2.64,2.69,1.81,2.37,1.92,2.53,0.98,0.89,,
July,2.34,1.88,2.81,2.58,0.28,2.57,2.31,2.70,1.26,3.36,,
August,2.10,2.73,2.57,6.10,1.50,3.02,2.61,2.41,1.73,3.29,,
September,1.98,2.61,1.89,1.54,1.82,0.97,3.49,1.86,-999.00,4.30,,
October,0.73,2.14,2.33,2.21,4.24,2.96,1.32,1.82,2.23,4.61,,
November,3.39,3.85,1.28,4.25,0.86,1.46,2.24,0.92,2.55,2.58,,
December,1.23,2.52,1.02,2.03,1.35,1.75,2.38,2.96,2.61,3.69,,
Total,25.93,24.73,21.14,29.34,19.38,22.97,23.58,26.15,17.40,30.13,,
Calc annual,25.93,24.73,21.14,29.34,19.38,22.97,23.58,26.15,17.40,30.13,,
Difference,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,,
