MERTHYR-TYDFIL-PLYMOUTH-WORKS,,,,,,,,,,,,,,,,,,,,
Grid ref,SO061040,Long,-3.3609272,Lat,51.726827,Elevation,497,ft,,,,,,,,,,,,
Station no,RR7467,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,5.81,7.23,6.1,2.49,1.98,11.4,6.1,2.64,3.46,8.23,7.55,1.48,,,
February,,,,,,9.2,1.39,2.34,1.11,2.55,1.75,0.73,4.64,8.4,5.39,0.38,1.08,,,
March,,,,,,3.43,7.89,2.39,6.32,4.08,3.3,3.48,1.36,1.2,6.2,6,6.78,,,
April,,,,,,4.8,4.69,2.4,1.63,3.69,1.52,2.97,1.46,0.23,4.22,4.23,1.03,,,
May,,,,,,4.22,5.26,2.44,3.71,4.07,3.51,7.33,2.17,5.02,4.24,0.64,0.16,,,
June,,,,,,2.93,1.81,1.05,3.81,0.48,2.8,3.53,3.19,2.53,2.85,1.06,2.37,,,
July,,,,,,1.07,3.85,2.7,7.83,5.23,2.91,3.13,2.71,4.25,3.83,7.52,3.06,,,
August,,,,,,4.47,3.06,2.3,4.26,4.13,4.45,8.14,6.01,3.78,4.41,5.34,3.15,,,
September,,,,,,8.63,4.5,7.71,1.17,1.5,2.28,3.95,4.49,2.72,2.22,0.83,,,,
October,,,,,,6.89,9.09,2.03,2.68,4.76,2.38,14.15,5.62,5.11,8.72,4.69,,,,
November,,,,,,7.27,7.38,6.09,10.34,3.16,7.02,6.74,4.41,2.95,9.98,12.49,,,,
December,,,,,8.55,2.9,9.92,5.19,9.21,3.73,0.9,11.54,2.83,9.36,4.93,6.09,,,,
Total,,,,,,61.62,66.07,42.74,54.56,39.36,44.22,71.79,41.53,49.01,65.22,56.82,,,,
