DROITWICH HIMBLETON MANOR,,,,,,,,,,
Grid ref,SO950585,Long,-2.074616,Lat,52.224681,Elevation,188,ft,,
Station no,RR8877,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,2.29,0.95,3.76,0.97,,
February,,,,,3.35,0.91,1.51,0.7,,
March,,,,,1.02,3.57,0.87,0.8,,
April,,,,,0.99,1.95,1.13,2.11,,
May,,,,,2.65,0.34,2.21,3.33,,
June,,,,,0.87,3.32,2.66,2.08,,
July,,,,,3.07,0.67,0.87,2.21,,
August,,,,,1.91,4.35,0.88,2.84,,
September,,,,,1.95,1.09,0.79,0.47,,
October,,,,,0.64,1.21,4.24,6.1,,
November,,,,,1.02,2.38,2.11,1.98,,
December,,,,,1.85,0.68,1.7,3.57,,
Total,,,,,21.61,21.42,22.73,27.16,,
