MAIDSTONE-HUNTON-COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ723496,Long,0.46585251,Lat,51.219598,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.77,1.64,3.37,0.22,1.48,2.55,0.54,4.06,4.55,3.28,3.68,2.86,1.42,2.82,4.51,2.38,1.06,3.01,0.79,6.03,1.26,2.4,0.19,1.03,0.96,1.52,2.33,2.47,4.15,1.28,0.67,0.93,2.34,1.56,0.51,2.2,2.16,2.16,0.9,2.22,,
February,,,,,,,,,0.44,1.29,1.16,1.73,0.73,0.66,1.14,1.93,4.62,1.54,1.28,2.5,1.17,1.49,1.09,1.94,1.29,0.71,2.54,1.83,1.2,2.97,2.21,1.79,1.3,3.43,1.57,2.7,0.38,0.51,1.64,2.43,0.92,0,1.67,3.46,1.63,0.76,0.58,2.32,,
March,,,,,,,,,0.71,1.82,1.93,2.35,3.85,0.49,2.62,1.7,2.42,3.02,1.21,2.51,1.62,1.38,1.79,1.62,0.78,0.63,2.18,3.23,2.01,0.57,0.38,1.54,0.95,1.34,1.41,1.39,1.23,1.88,3.01,1.85,2.59,2.14,1.94,0.39,1.02,1.52,2.11,3.61,,
April,,,,,,,,,1.91,1.99,2.52,0.83,2.07,0.62,0.63,0.27,2.09,1.47,1.43,1.31,0.36,2.53,1.23,0.7,1.82,1.1,1.74,2.57,3.62,2.85,1.67,0.42,2.37,1.63,1.17,2.17,1.5,1.65,1.3,2.59,2.73,0.53,1.82,0.02,1.81,1.23,0.63,2.04,,
May,,,,,,,,,2.22,1.91,3.03,1.13,2.51,1.62,2.05,3.08,1.26,2.16,1.49,4.2,1.17,0.86,4.04,1.23,1.29,1.33,1.36,2.26,3.66,2.95,0.09,0.57,1.07,1.96,0.3,3.36,2.72,1.57,0.81,1.32,1.61,2.6,0.43,0.93,1.71,0.17,0.32,1.21,,
June,,,,,,,,,0.46,1.67,4.63,2.17,2.36,4.94,1.29,0.92,2.4,1.02,0.46,0.9,0.16,2.65,3.25,3.03,2.42,2.58,1.12,0.77,1.94,2.77,2.3,2.32,2.5,1.46,1.17,1.21,0.26,1.06,2.77,1.2,1.75,1.73,2.73,1.05,2.31,0.19,3.72,,,
July,,,,,,,,,2.39,2.46,1.71,1.65,1.49,0.69,0.59,3.69,2.46,4.35,0.82,0.17,1.94,2.63,1.99,1.49,0.67,4.71,0.64,1.85,1.74,2.72,2.6,1.13,2.94,2.95,1.45,0.21,2.14,0.73,5.26,2.36,3.53,3.16,1.52,2.37,4.27,4.87,0.73,,,
August,,,,,,,,,1.72,2,2.8,0.9,2.31,1.54,1.08,4.57,1.98,1.54,2.24,1.07,2.2,0.93,1,2.07,1.8,1.31,2.48,2.58,4.59,3.43,1.66,3.57,1.25,0.5,0.91,0.73,2.46,1.86,2.19,1.77,2.49,2.93,3.11,1.24,1.55,1.45,2.82,,,
September,,,,,,,,,0.94,3.25,2.59,2.14,2.16,3.27,2.53,0.02,4.57,1.43,2.59,4.25,2.21,4.82,1.69,2.2,2.91,1.92,3.23,0.73,0.87,2.5,2.89,3.06,3.42,3.42,3.52,3.67,1.24,2.69,0.74,1.27,0.98,0.94,2.01,2.57,2.96,0.35,7.71,,,
October,,,,,,,,,1.95,4.12,1.6,0.91,4.49,1.82,1.31,7.81,1.06,2.71,2.02,2.65,3.99,0.83,3.97,3.5,2.98,3.52,0.91,1.93,2.59,0.4,6.82,3.69,5.81,2.66,1.3,3.76,2.38,1.67,1.48,5.09,1.05,6.32,5.39,3.37,4.47,3.07,4.51,,,
November,,,,,,,,,0.89,3.31,2.64,6.07,0.94,1.61,4.33,2.59,1.86,1.12,1.91,2.1,1.48,0.69,5.96,1.63,2.4,3.83,2.75,5.15,3.78,1.38,3.19,2.62,3.46,3.86,1.15,2.42,2.84,4.73,4.12,0.89,3.69,1.78,2.39,2.61,3.71,4.77,0.9,,,
December,,,,,,,,,2.19,3.74,2.4,1.59,1.66,1.5,0.94,1.67,1.51,2.1,5.36,3.66,2.77,1.31,4.72,0.31,2.03,2.02,6.34,2.29,1.49,0.71,2.87,2.79,2.37,1.26,2.65,0.85,4.81,1.83,1.47,1.54,0.59,2.76,1.39,1.75,1.36,1.72,3.15,,,
Total,,,,,,,,,16.59,29.2,30.38,21.69,26.05,21.31,19.05,32.31,30.78,25.74,24.49,28.18,20.49,22.94,35.24,22.1,21.45,26.67,26.08,31.22,28.75,25.65,26.87,24.53,28.4,25.99,18.93,24.94,26.11,21.46,25.46,23.24,24.27,26.45,24.91,21.96,28.96,22.26,28.08,,,
