PETERSFIELD-THE-MISCOMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU756198,Long,-0.924635,Lat,50.97308,Elevation,262,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,1.13,3.85,1.68,4.22,6.6,0.75,5.76,2.21,1.6,4.64,8.13,5.3,5.37,,,,,,,,,
February,,,,,,,,,,0.46,5.41,2.47,3.97,1.56,7.03,7.61,5.28,1.24,2.22,3.35,0.87,0.31,,,,,,,,,
March,,,,,,,,,,5.53,1.41,2.77,5.86,4.15,6.33,1,3.54,2.81,1.63,6.42,3.57,,,,,,,,,,
April,,,,,,,,,,1.82,2.67,1.91,0.05,3.58,1.81,1.7,1.11,2.6,2.33,2.96,4.42,1.41,,,,,,,,,
May,,,,,,,,,,2.36,2.09,3.05,1.27,3.1,1.42,4.17,1.95,2.14,1.71,0.76,1.56,2.81,,,,,,,,,
June,,,,,,,,,,3,3.16,2.13,4.35,0.92,0.5,1.59,2.84,3.33,1.24,0.63,2.17,0.12,,,,,,,,,
July,,,,,,,,,,3.07,3.4,0.89,2.89,2.19,3.68,5.66,1.15,4.05,5.72,1.74,6.62,0.44,,,,,,,,,
August,,,,,,,,,,2.64,4.48,0.56,7.5,1.69,2.76,2.12,3.2,7.59,1.77,3.48,1.87,2.91,,,,,,,,,
September,,,,,,,,,,3.38,0.2,1.92,4.57,2.82,1.93,2.59,2.64,2,6.83,1.93,2.94,1.09,,,,,,,,,
October,,,,,,,,,,9.58,4.27,5.68,4.55,5.66,2.85,4.44,6.83,5.87,2.1,0.49,4.31,0.82,,,,,,,,,
November,,,,,,,,,,0.72,4.77,5.75,2.2,4.15,4.62,3.79,5.55,1.34,3.35,2.91,2.47,2.9,,,,,,,,,
December,,,,,,,,,,5.97,7.1,11.57,5.74,2.35,11.61,10.53,4.18,1.48,4.08,7.82,4.73,2.78,,,,,,,,,
Total,,,,,,,,,,39.66,42.81,40.38,47.17,38.77,45.29,50.96,40.48,36.05,37.62,40.62,40.83,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location of gauge unknown ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Miscombe is a strip of wood on the N side of a hill but elevation too high for gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assume gauge was at bottom of slope but could have been 0.25 mile further E or W of NGR tracing contour of hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Mar Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
