PETERSFIELD THE MISCOMBE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7582,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.30,5.37,,,,,,,,,,
February,0.87,0.31,,,,,,,,,,
March,3.57,1.64,,,,,,,,,,
April,4.42,1.41,,,,,,,,,,
May,1.56,2.81,,,,,,,,,,
June,2.17,0.12,,,,,,,,,,
July,6.62,0.44,,,,,,,,,,
August,1.87,2.91,,,,,,,,,,
September,2.94,1.09,,,,,,,,,,
October,4.31,0.82,,,,,,,,,,
November,2.47,2.90,,,,,,,,,,
December,4.73,2.78,,,,,,,,,,
Total,40.83,22.60,,,,,,,,,,
Calc annual,40.83,22.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
