TUNBRIDGE-WELLS-SHERWOOD-PARK,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ603404,Long,0.2900718,Lat,51.140431,Elevation,494,ft,,,,,,,,,,,,,
Station no,332,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.17,4.39,2.29,3.84,2.12,,,,,,,
February,,,,,,,,,,0.55,1.48,2.59,0.73,2.45,,,,,,,
March,,,,,,,,,,0.05,1.15,0.41,1.41,3.34,,,,,,,
April,,,,,,,,,,1.16,1.97,3.92,2.67,0.77,,,,,,,
May,,,,,,,,,,1.97,3,2.82,2.77,2.35,,,,,,,
June,,,,,,,,,,1.18,1.08,1.19,1.32,1.15,,,,,,,
July,,,,,,,,,,1.12,2.3,2.05,2.57,1.93,,,,,,,
August,,,,,,,,,,3.07,3.16,3.95,,0.97,,,,,,,
September,,,,,,,,,,0.4,3.81,2.04,,3.46,,,,,,,
October,,,,,,,,,,3.73,1.42,,,2.13,,,,,,,
November,,,,,,,,,,8.18,6.06,,,1.25,,,,,,,
December,,,,,,,,,,8.02,2.62,0.76,,0.56,,,,,,,
Total,,,,,,,,,,30.6,32.44,,,22.48,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1931 Oct Nov estimated,,,,,,,,,,,,,,,,,,,,,
