CARDIFF-EAST-MOORS,,,,,,,,,,,,,,,,,,,,
Grid ref,ST207765,Long,-3.1433635,Lat,51.481874,Elevation,24,ft,,,,,,,,,,,,
Station no,RR7458,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.81,4.11,1.95,0.92,3.17,5.1,4.53,,,,,
February,,,,,,,,,3,6.54,3.79,5.07,2.54,3.41,3.88,,,,,
March,,,,,,,,,1.5,1,1.86,3.76,2.34,0.55,2.75,,,,,
April,,,,,,,,,4.25,2.71,1.94,1.27,5.53,0.6,1.64,,,,,
May,,,,,,,,,4.64,2.79,1.39,2.48,2.41,1.74,2.38,,,,,
June,,,,,,,,,3.2,6.13,2.08,3.27,4.18,1.33,1.79,,,,,
July,,,,,,,,,1.94,3.91,6.59,2.47,5.13,2.88,3.49,,,,,
August,,,,,,,,,10.52,7.21,1.01,6.65,7,1.12,2.64,,,,,
September,,,,,,,,,3.52,4.23,3.31,2.24,4.01,6.25,2.62,,,,,
October,,,,,,,,,5.71,2.01,5.28,3.57,8.82,3.41,1.07,,,,,
November,,,,,,,,,3.06,0.46,3.48,5.08,5.17,4.92,2.06,,,,,
December,,,,,,,,,2.74,1.99,6.67,4.65,5.41,0.93,5.41,,,,,
Total,,,,,,,,,45.89,43.09,39.35,41.43,55.71,32.24,34.26,,,,,
