"BARRY, FORFARSHIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 537 344,Long,-2.753608,Lat,56.499705,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,4.17,1.26,1.25,1.4,3.03,1.4,3.59,3.25,2.28,1.5,2.64,8.12,3.47,3.72,2.03,1.02,,2.38,,,1.36,4.94,1.49,2.37,,2.17,1.11,,3.69,1.46,3.52,2.06,2.06,0.82,3.11,0.59,1.11,1.08,3.13,2.45,,,,
February,,,,,,,4.03,0.99,1.11,1.32,0.94,1.83,2.13,0.73,3.86,2.56,3.04,1.35,2,1.14,2.33,4.68,,0.81,,,3.14,2,2.01,2.86,,5.56,1.57,,1.72,3.03,1.28,0.96,0.83,1.62,1.37,0.09,1.57,3.28,5.32,2.5,,,,
March,,,,,,,0.01,3.31,1.23,2.12,2.23,2.4,3.27,1.07,3.02,1.54,2.51,2.17,1.8,1.35,0.86,0.88,,1.98,,,2.66,2.47,0.95,2.4,,3.38,2.32,,2.86,2.41,3.06,1.93,3.71,1.95,2.07,2.49,0.29,0.61,1.53,,,,,
April,,,,,,,3.22,3.55,1.25,1.65,0.41,1.07,1.39,1.57,1.21,1.07,0.97,2.5,2.98,1.59,0.35,6.23,,0.28,,,3.45,2.96,1.77,3.1,,0.54,4.61,,1.54,2.94,1.25,1.87,1.49,3.3,0.71,0.66,0.7,1.74,1.36,1.45,,,,
May,,,,,,,3.84,2.47,1.97,0.23,0.13,1.1,3.16,2.89,2,2.54,1.58,3.81,1.68,1.69,1.32,0.92,,1.58,,,0.6,2.09,2.58,2.81,,1.98,3.02,,1.8,3.83,3.1,1.2,2.21,1.7,2.75,2.13,3.16,1.99,4.66,,,,,
June,,,,,,,4.01,2.96,1.32,2.37,4.38,1.69,2.68,1.67,1.88,0.4,1.43,1.76,0.4,3.24,2.81,2.14,,1.28,,,3.65,3.31,2.89,4.49,,2.36,4.04,,0.36,0.69,1.12,0.75,2.49,1.21,3.47,0.74,3.82,2.29,2.36,,,,,
July,,,,,,,2.48,1.46,3.75,2.39,2.62,2.52,3.58,1.26,2.6,3.02,3.3,4.29,0.46,0.84,1.58,4.28,,5.46,,,1.74,4.96,1.22,4.32,,3.48,3.35,,5.45,0.68,4.14,1.87,6.48,4.04,3.81,2.93,1.9,4.09,4.52,,,,,
August,,,,,,,4.21,1.61,2.44,1.42,2.65,4.49,3.09,3.9,0.79,3.23,2.98,2.04,4.95,1.21,1.08,1.89,,3.44,,,2.55,8.4,4.09,4.48,,4.3,1.54,,2.22,2.11,1.47,3.24,1.57,6.7,3.18,4.4,4.96,2.46,4.47,,,,,
September,,,,,,,7,3.58,2.76,1.54,1.5,3.51,2.62,3.68,3.29,0.53,2.77,1.64,5.44,4.9,2.63,2.18,,4.07,,,4.93,2.43,3.51,1.81,,3.37,4.08,,1.94,3.03,2.54,3.81,0.56,0.89,2.2,3.91,1.07,3.82,0.59,,,,,
October,,,,,,,1.27,1.8,3.28,4.51,2.43,1.97,2.93,2.69,8.95,4.86,2.33,2.21,1.56,3.64,3.24,5.11,,2.54,,,3.81,3.28,1.94,1.09,,4.29,3.15,,1.5,1.59,4.03,0.87,1.41,2.74,2.4,2.4,4.95,3.14,3.85,1.91,,,,
November,,,,,,,1.34,2.07,3.01,3.51,4.68,3.87,1.01,2.06,3.75,3.55,1.95,0.44,1.07,0.73,2.24,2.51,,3.4,,,5,3.13,2.02,2.9,,3.24,3.61,,1.68,1.95,2.26,4.25,5.91,0.79,4.8,2.75,2.25,2.1,1.9,2.89,,,,
December,,,,,,,2.7,0.92,3.47,1.73,3.85,2.02,3.09,2.28,3.2,1.85,3.46,1.19,5.34,1.82,3.75,1.8,,2.3,,,10.05,2.91,3.22,1.09,,2.74,6.91,,2.87,1.22,2.19,1.6,2.16,1.42,1.99,2.71,1.29,1.95,2.1,2.74,,,,
Total,,,,,,,38.28,25.98,26.84,24.19,28.85,27.87,32.54,27.05,36.83,26.65,28.96,31.52,31.15,25.87,24.22,33.64,,29.52,,,42.94,42.88,27.69,33.72,,37.41,39.31,,27.63,24.94,29.96,24.41,30.88,27.18,31.86,25.8,27.07,28.55,35.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872 Comment on illegibility of readings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
