"DUCHRAY VALLEY ( COMER )",,,,,,,,,,,,
Grid ref,NN385041,Long,-4.604924,Lat,56.202016,,,,,,,
Station no,5366,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.25,,
February,,,,,,,,,,7.65,,
March,,,,,,,,,,4.15,,
April,,,,,,,,,,10.45,,
May,,,,,,,,,,5.25,,
June,,,,,,,,,,3.95,,
July,,,,,,,,,,7.70,,
August,,,,,,,,,,5.35,,
September,,,,,,,,,2.45,4.40,,
October,,,,,,,,,8.95,6.10,,
November,,,,,,,,,9.30,11.30,,
December,,,,,,,,,14.90,9.60,,
Total,,,,,,,,,,81.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.60,81.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
