DUCHRAY VALLEY ( COMER ),,,,,,,,,,
Grid ref,NN385041,Long,-4.604924,Lat,56.202016,Elevation,600,ft,,
Station no,5366/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.25
February,,,,,,,,,,7.65
March,,,,,,,,,,4.15
April,,,,,,,,,,10.45
May,,,,,,,,,,5.25
June,,,,,,,,,,3.95
July,,,,,,,,,,7.7
August,,,,,,,,,,5.35
September,,,,,,,,,2.45,4.4
October,,,,,,,,,8.95,6.1
November,,,,,,,,,9.3,11.3
December,,,,,,,,,14.9,9.6
Total,,,,,,,,,,81.15
,,,,,,,,,,
,,,,,,,,,,
Station no,5366/1,,,,,,,,,
Midas,15454,,,,,,,,,
Hyd Stn,889384,,,,,,,,,
