WEYBRIDGE-HARWOOD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ076617,Long,-0.45650464,Lat,51.344209,Elevation,150,ft.,,,,,,,,,,,,,
Station no,229/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,0.96,2.67,0.97,1.23,1.2,1.43,0.72,3.6,3.83,2.11,,
February,,,,,,,,,,0.32,0.64,1.29,0.18,2.53,0.18,1.91,1.62,3.65,0.41,,
March,,,,,,,,,,0.04,1.21,0.21,1.12,1.89,1.93,0.45,1.34,3.11,0.39,,
April,,,,,,,,,,0.76,1.57,3.76,1.98,0.62,2.04,2.69,1.63,2.49,0.1,,
May,,,,,,,,,,1.53,2.47,2.27,4.24,3.18,0.5,1.33,0.76,2.32,1.86,,
June,,,,,,,,,,0.99,0.46,1.6,1.06,1.91,1.07,3.08,3.67,1.93,0.6,,
July,,,,,,,,,,1.12,1.6,3.41,2.79,1.19,3.14,2.1,3.29,0.67,1.11,,
August,,,,,,,,,,2.77,2.06,3.99,0.91,0.72,1.67,2.98,0.66,1.75,1.7,,
September,,,,,,,,,,0.2,2.59,2.1,1.95,2.59,1.31,3.07,2.34,1.83,1.44,,
October,,,,,,,,,,2.48,0.93,0.56,4.71,1.59,1.36,2.75,2.35,2.78,2.02,,
November,,,,,,,,,,4.13,3.81,2.15,0.86,1.02,1.95,4.61,2.68,1.36,3.01,,
December,,,,,,,,,,3.56,1.65,0.41,0.27,0.49,4.88,2.14,1.68,3.96,3.64,,
Total,,,,,,,,,,18.86,21.66,22.72,21.3,18.93,21.46,27.83,25.62,29.68,18.39,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Harwood. Altitudes match.,,,,,,,,,,,,,,,,,,,,,
"1930s record was originally called Weybridge St Georges Hill, with the St Georges Hill replaced with Harwood. ",,,,,,,,,,,,,,,,,,,,,
"The gauge is noted as moving in 1933 with no details, but Harwood is in an area called St Georges Hill and is also 200m from a building with the same name.",,,,,,,,,,,,,,,,,,,,,
Gauge probably moved locally within the Harwood site,,,,,,,,,,,,,,,,,,,,,
