"BERE FERRERS RECTORY",,,,,,,,,,,,
Grid ref,SX453637,Long,-4.180513,Lat,50.452687,,,,,,,
Station no,RR1012,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.60,4.24,3.03,5.67,8.01,3.00,9.03,1.95,2.48,1.80,,
February,7.55,1.77,2.60,3.00,8.42,1.47,6.05,2.95,3.45,0.59,,
March,2.65,3.47,3.45,6.77,2.72,7.30,1.95,1.39,5.42,5.54,,
April,2.22,4.76,2.56,2.12,2.13,3.70,1.07,6.32,3.42,2.81,,
May,2.16,1.91,2.27,4.13,3.66,1.00,4.61,4.33,2.91,1.34,,
June,4.64,2.05,3.83,2.96,1.93,3.02,1.83,2.85,0.83,5.36,,
July,1.80,3.69,2.76,5.79,6.94,0.92,2.02,2.56,2.83,3.93,,
August,3.22,2.82,3.37,5.04,3.83,5.34,3.81,2.33,3.80,1.85,,
September,1.85,4.82,3.09,5.24,3.63,1.70,1.48,2.08,2.87,1.07,,
October,3.32,3.91,3.76,11.02,2.76,2.00,7.00,8.21,2.42,7.41,,
November,5.78,0.85,8.01,2.82,3.14,8.22,3.73,4.68,1.94,1.55,,
December,8.61,9.42,5.21,7.20,5.84,1.75,4.47,6.34,4.98,6.60,,
Total,51.40,43.71,43.94,61.76,53.01,39.42,47.05,45.99,37.35,39.85,,
Calc annual,51.40,43.71,43.94,61.76,53.01,39.42,47.05,45.99,37.35,39.85,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
