PLYMOUTH-BERE-FERRERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX453637,Long,-4.1792,Lat,50.4528,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,1.91,8.46,2.73,7.42,1.23,2.42,2.96,5.21,5.67,3.45,5.94,4.2,2.72,2,7.16,3.94,2.34,3.6,4.88,7.18,1.61,3.71,1.13,7.33,7.6,4.24,3.03,5.67,8.01,3,9.03,1.95,2.48,1.8,5.22,1.69,4.65,,,,,,,
February,,,,,,,5.39,3.11,2.57,7,5.23,6.53,3.37,6.8,4.67,5.6,1.69,1.04,0.62,2.73,1.85,0.04,3.29,7.05,2.98,0.06,0.93,4.75,1.6,5.25,7.55,1.77,2.6,3,8.42,1.47,6.05,2.95,3.45,0.59,5.96,2.97,5.03,,,,,,,
March,,,,,,,4.36,4.41,1.67,0.97,3.14,5.41,1.81,0.95,5.16,2.37,4.31,2.13,6.1,5.48,2.32,3.84,1.5,0.2,2.82,3.87,4.77,6.06,1.82,1.35,2.65,3.47,3.45,6.77,2.72,7.3,1.95,1.39,5.42,5.54,0.86,3.41,7.64,,,,,,,
April,,,,,,,4.6,6.02,4.14,3.46,2.94,1.6,6.69,1.33,1.75,4.98,2.79,1.77,0.84,2.07,3.09,2.47,1.36,0.62,3.31,2.74,0.37,4.44,2.26,4.02,2.22,4.76,2.56,2.12,2.13,3.7,1.07,6.32,3.42,2.81,2.97,2.16,0.22,,,,,,,
May,,,,,,,0.36,5.09,5.72,2.96,0.93,1.36,1.47,3.07,2.21,3.82,2.35,2.13,2.74,2.82,1.92,3.6,1.83,1.21,3.26,0.91,0.01,1.76,4.7,2.49,2.16,1.91,2.27,4.13,3.66,1,4.61,4.33,2.91,1.34,2.33,2.7,2.1,,,,,,,
June,,,,,,,1.93,1.36,2.98,10.56,1.3,4.57,4.23,4.1,0.84,2.4,0.7,0.29,2.69,0.62,4.23,2.11,1.94,1.04,2.98,2.31,1.59,2.05,2.88,1.24,4.64,2.05,3.83,2.96,1.93,3.02,1.83,2.85,0.83,5.36,1.88,2.87,6.08,,,,,,,
July,,,,,,,1.85,3.92,1.82,5.18,3.74,2.68,6.04,3.92,3.8,0.51,4.16,1.69,8.07,4.96,6.03,3.75,1.55,4.26,4.08,4.72,2.63,1.23,0.44,1.17,1.8,3.69,2.76,5.79,6.94,0.92,2.02,2.56,2.83,3.93,3.54,1.28,3.05,,,,,,,
August,,,,,,,5.41,6.51,6.58,6.73,0.66,5.15,3.66,1.53,1.9,3.39,2.88,1.43,3.39,3.3,3.75,8.06,3.9,1.73,3.35,4.13,2.26,5.65,3.42,1.51,3.22,2.82,3.37,5.04,3.83,5.34,3.81,2.33,3.8,1.85,5.97,2.92,11,,,,,,,
September,,,,,,,7.45,3.48,4.23,5.93,4.55,2.99,4.9,7.59,2.34,6.41,2.62,3.82,1.48,2.06,1.36,3,2.98,2.43,2.88,0.76,7.03,3.12,1.85,2.44,1.85,4.82,3.09,5.24,3.63,1.7,1.48,2.08,2.87,1.07,0.31,2.95,1.78,,,,,,,
October,,,,,,,5.13,4.37,5.6,2.3,6.06,4.31,7.45,5.03,1.8,6.88,7.03,4.8,2.34,6.12,2.08,10.71,4.97,4.31,5.74,4.79,4.17,1.33,7.54,3.71,3.32,3.91,3.76,11.02,2.76,2,7,8.21,2.42,7.41,6.53,4.56,5.68,,,,,,,
November,,,,,,3.07,5.78,9.69,4.22,0.31,4.46,7.35,5.42,5.86,2.57,4.93,4.33,4.27,9.54,3.34,4.53,5.32,3.62,2.1,8.98,7.64,1.86,2.4,3.87,4.21,5.78,0.85,8.01,2.82,3.14,8.22,3.73,4.68,1.94,1.55,5.1,5.54,3.1,,,,,,,
December,,,,,,2.4,12.72,3.73,5.07,2.13,4.99,5.19,7.62,1.23,5.35,2.37,7.05,4.59,3.72,3.61,4.15,6.87,2.24,6.42,5.69,6.2,10.89,8.26,5.57,5.06,8.61,9.42,5.21,7.2,5.84,1.75,4.47,6.34,4.98,6.6,8.03,11.41,6.26,,,,,,,
Total,,,,,,,56.89,60.15,47.33,54.95,39.23,49.56,55.62,46.62,38.06,47.11,45.85,32.16,44.25,39.11,42.47,53.71,31.52,34.97,50.95,45.31,38.12,44.76,37.08,39.78,51.4,43.71,43.94,61.76,53.01,39.42,47.05,45.99,37.35,39.85,48.7,44.46,56.59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rectory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 June 16 New gauge erected – same as previous on same site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
