EDINBURGH PRINCES STREET GARDENS,,,,,,,,,,,,,,,,,,,,
Grid ref,NT249735,Long,-3.2041263,Lat,55.948643,Elevation,220,ft,,,,,,,,,,,,
Station no,RR2097,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,3.63,0.31,2.64,2.78,0.61,1.98,1.42,0.9,2.58,,1.54,0.9,3.52,2.16,1.78,,0.99,,,
February,,0.21,0.98,1.05,0.74,0.8,3.28,1.16,1.87,,2.22,2.02,1.96,1.09,0.9,1.3,3.12,,,
March,,2.1,2.7,0.5,3.06,0.88,0.79,0.6,1.5,,0.84,1.17,3.04,1.67,1.27,0.8,3.11,,,
April,0.4,1.65,1.8,1.92,1.1,0.25,1.27,1.1,2.04,,0.25,4.44,1.94,0.24,1.47,0.55,3.34,,,
May,2.16,0.55,2.32,1.37,1.17,3.51,2.22,1.19,1.59,,1.1,0.7,3.26,2.56,1.5,0.7,1.04,,,
June,3.53,2.73,2.53,3.65,1.23,0.39,1.05,0.84,0.41,,1.57,0.8,2.27,0.95,1.84,2.5,2.53,,,
July,1.13,3.09,2.34,0.24,1.79,2.82,3.42,5.02,0.92,,1.93,2.64,4.64,2.93,3.09,3.23,1.17,,,
August,2.27,3.42,3.02,3.35,0.81,3.1,1.3,1.6,4.29,,1.14,2.39,2.95,4.53,4.9,1.09,3.59,,,
September,0.76,4.3,1.98,2.92,3.27,0.52,2.5,2.06,3.15,,2.18,2.05,5.73,3.83,1.64,1.99,6.44,,,
October,2.65,1.54,3.31,1.19,6.44,3.57,3.64,1.4,1.39,,1.5,1.84,3.29,4.75,,2.72,2.59,,,
November,2.68,4.31,1.23,1.07,1.61,1.81,2.38,0.2,1.36,,0.7,1.47,3.63,2,,4.86,4.16,,,
December,1.9,0.67,2.73,1.89,1.08,1.44,2.25,,2.61,,2.2,2.82,2,1.53,,1.57,4.81,,,
Total,,24.88,27.58,21.93,22.91,21.07,25.52,,23.71,,17.17,23.24,38.23,28.24,,,36.89,,,
,,,,,,,,,,,,,,,,,,,,
NGR west end of West Princes Gardens but elevation still too low,,,,,,,,,,,,,,,,,,,,
