NORTH FERRIBY - NELHOLME,,,,,,,,,,,,,,,,
Grid ref,SE984264,Long,-0.510,Lat,53.725,Elevation,125,ft,,,,,,,,
Station no,RR1360,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892
January,3.25,2.20,0.50,0.15,1.50,2.25,2.00,2.90,1.75,3.25,1.40,0.85,1.25,2.20,1.27,1.41
February,2.25,2.50,3.00,2.00,3.10,1.50,2.50,1.50,2.10,0.95,0.35,1.40,1.45,1.25,0.05,1.95
March,2.50,1.00,0.80,2.60,2.50,1.30,1.60,1.50,1.50,2.50,1.30,2.85,2.50,1.55,1.32,1.10
April,3.25,1.00,1.50,1.75,1.15,3.50,1.80,1.50,1.70,2.15,1.15,2.10,2.58,0.65,2.32,1.38
May,1.25,2.25,3.10,1.60,0.70,1.50,1.90,0.45,2.00,4.60,1.50,0.46,4.16,2.37,2.79,3.28
June,1.75,2.50,3.35,2.50,1.80,4.05,3.95,0.70,2.60,0.45,0.00,2.10,0.30,1.84,1.24,3.50
July,3.00,1.60,3.85,4.60,2.70,1.95,3.30,2.15,0.75,3.00,1.40,5.26,1.14,2.15,3.10,1.50
August,4.25,4.90,3.40,1.90,6.10,3.35,1.10,1.20,1.75,2.10,1.75,2.15,2.80,3.23,4.48,2.45
September,3.75,2.00,2.05,4.00,3.20,1.50,3.35,1.55,2.65,0.95,2.70,1.67,1.53,1.24,1.78,1.18
October,2.00,2.00,1.35,6.60,2.55,6.00,3.30,0.85,5.55,3.00,1.60,0.87,3.82,1.51,3.40,5.54
November,2.00,3.25,1.75,2.10,1.50,2.95,2.45,0.95,2.20,1.70,1.90,3.03,0.57,3.90,1.86,1.45
December,2.00,1.00,1.00,2.50,2.20,5.65,1.35,1.35,0.80,3.60,1.00,1.85,1.27,0.81,3.10,1.00
Total,31.25,26.20,25.65,32.30,29.00,35.50,28.60,16.60,25.35,28.25,16.05,24.59,23.37,22.70,26.71,25.74
,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt2/003,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/002,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/116,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# Nelholme is shown on the OS 1890 Yorkshire map (mis-spelt as Melholme).,,,,,,,,,,,,,,,,
# Later maps show the property renamed as Sunnymede.,,,,,,,,,,,,,,,,
# This location ties up with the church directions.,,,,,,,,,,,,,,,,
