NORTH FERRIBY - FERRIBY HALL,,,,,,,,,,,,,,,
Grid ref,SE988262,Long,-0.504,Lat,53.723,Elevation,73,ft,,,,,,,
Station no,RR1360,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812
January,,,3.59,,1.77,,,,3.74,0.82,0.59,1.57,0.64,0.94,
February,,,0.30,,2.77,,,,2.33,2.64,0.92,2.94,1.10,1.04,
March,,,1.45,,0.02,,,,3.51,1.21,0.29,0.48,0.94,1.80,
April,,,3.83,,1.08,,,,0.89,1.77,2.47,3.05,1.54,0.93,
May,,,1.77,,1.39,,,,1.38,2.83,2.01,0.45,2.66,2.65,
June,,,1.24,,1.90,,,,1.50,1.13,1.21,3.24,1.27,3.20,
July,,,0.01,,2.78,,,,3.52,1.11,3.24,2.38,3.77,1.63,
August,,,3.00,,4.29,,,,2.78,3.31,2.44,5.88,4.33,0.85,
September,,,5.75,,0.51,,,,2.49,2.86,3.27,3.10,0.58,2.19,
October,,,1.82,,2.92,,,,1.22,1.93,2.99,0.56,2.21,1.90,
November,,,4.63,,2.29,,,,4.31,6.02,2.51,1.90,5.98,2.32,
December,,,2.09,,2.20,,,,3.20,1.62,5.01,2.42,3.95,1.54,
Total,21.00,30.25,29.48,26.25,23.92,26.25,26.50,24.50,30.87,27.25,26.95,27.97,28.97,20.99,36.01
,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt1/021,,,,,,,,,,,,,,,
TYRain_1677-1886_A_pt1/153,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt2/040,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt2/077,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"# Several years are totals-only, in quarter inches.",,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# One of the observers is Mr Broadley.,,,,,,,,,,,,,,,
"# The Broadley family owned Ferriby Hall, so this is taken to be the location.",,,,,,,,,,,,,,,
