LANGOLD-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK580873,Long,-1.1295704,Lat,53.379377,Elevation,150,ft,,,,,,,,,,,,,
Station no,2639,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.41,,2.92,2.83,0.92,,,,,,,,
February,,,,,,,,,1.92,,0.51,2.21,0.28,,,,,,,,
March,,,,,,,,,2.61,,2.04,0.71,1.08,,,,,,,,
April,,,,,,,,,1.27,,3.3,2.17,2.14,,,,,,,,
May,,,,,,,,,1.78,,1.31,2.35,7.08,,,,,,,,
June,,,,,,,,,2.23,,3.18,3.9,0.66,,,,,,,,
July,,,,,,,,,0.39,,6.23,4.34,2.4,,,,,,,,
August,,,,,,,,,2.81,,2.1,5.1,1.65,,,,,,,,
September,,,,,,,,,0.25,,3.12,2.8,0.78,,,,,,,,
October,,,,,,,,,4.55,,1.93,0.67,3.24,,,,,,,,
November,,,,,,,,,2.84,,3.55,2.68,1.09,,,,,,,,
December,,,,,,,,,2.18,,1.91,1.02,0.95,,,,,,,,
Total,,,,,,,,,26.24,,32.1,30.78,22.27,,,,,,,,
