"WIGGENHALL (ST. GERMANS SLUICE)",,,,,,,,,,,,
Grid ref,TF588143,Long,0.348828,Lat,52.703081,,,,,,,
Station no,1470,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.29,1.84,1.09,1.36,1.96,3.43,1.34,2.09,3.03,3.06,,
February,1.87,0.68,1.49,2.17,2.18,1.02,2.44,3.46,0.15,1.28,,
March,3.02,1.98,0.85,2.40,1.68,0.67,1.96,0.96,1.53,0.94,,
April,3.17,1.29,2.08,0.21,0.66,0.77,0.37,0.69,0.97,0.48,,
May,2.26,2.33,1.36,2.66,2.14,0.80,1.52,2.89,0.51,0.52,,
June,0.85,1.44,4.05,1.85,2.12,2.15,2.21,3.55,0.78,2.35,,
July,0.71,0.41,2.35,2.08,0.32,2.71,1.80,2.78,2.06,2.84,,
August,3.90,2.84,2.38,5.06,0.81,4.73,2.77,4.40,1.27,3.16,,
September,2.35,2.48,0.95,2.13,1.43,1.30,3.69,2.70,0.00,2.05,,
October,1.34,1.65,2.12,2.24,1.94,1.14,1.50,1.93,1.67,4.23,,
November,3.03,2.68,1.66,4.00,1.10,1.01,1.22,1.27,1.24,3.64,,
December,1.22,1.77,0.94,1.85,1.19,1.64,1.83,2.46,3.70,4.20,,
Total,26.01,21.39,21.32,28.01,17.53,21.37,22.65,29.18,16.91,28.75,,
Calc annual,26.01,21.39,21.32,28.01,17.53,21.37,22.65,29.18,16.91,28.75,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
