"HEADLEY THE HURST",,,,,,,,,,,,
Grid ref,TQ207560,Long,-0.270434,Lat,51.290352,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.60,1.29,5.26,0.89,1.25,1.26,,
February,,,,,4.04,0.78,2.48,1.75,1.23,0.84,,
March,,,,,1.75,3.98,1.54,0.99,3.30,4.27,,
April,,,,,1.41,1.85,0.39,6.03,2.70,2.29,,
May,,,,,2.75,1.02,1.44,1.92,2.15,1.56,,
June,,,,,1.83,5.48,2.55,1.79,1.87,3.93,,
July,,,,,1.17,0.97,0.46,1.53,4.20,3.64,,
August,,,,,1.86,2.89,0.61,2.43,4.04,2.85,,
September,,,,,1.53,2.57,1.79,0.58,1.61,4.11,,
October,,,,,2.23,1.53,4.40,5.16,2.30,5.62,,
November,,,,,1.74,5.03,4.92,2.70,0.95,0.98,,
December,,,,,3.39,0.88,1.97,3.92,2.86,4.35,,
Total,,,,,28.30,28.27,27.81,29.69,28.46,35.70,,
Calc annual,0.00,0.00,0.00,0.00,28.30,28.27,27.81,29.69,28.46,35.70,,
Difference,NaN,NaN,NaN,NaN,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
