LANGSETT MOOR (FIDDLERS GREEN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK152999,Long,-1.772351,Lat,53.495587,Elevation,1492,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.46,2.13,4.81,5.03,4.05,6.8,5.12,3.33,3.57,6.4,7.85,8.62,6.1,4.97,3.66,5.94,5.9,3.74,11.58,1.38,7.05,6.22,6.38,4.81,5.07,3.26,5.8,7.83,7.07,7.04,4.77,5.12,,7.4,8.5,5.05,7.21,5.69,13.36,3.7,3.9,7.6,6.25,2.71,5.4,3.8,7.49,4.31,6.2,4.6,6.05
February,5.14,6.41,2.53,1.94,2.94,5.03,8.4,0.81,7.29,2.57,4.72,0.48,5.77,9.09,1.51,6.96,5,2.31,5.2,0.57,1.04,6.26,0.49,8.93,0.24,8.46,5.31,7.79,2.82,4.59,3.79,6.17,,4.47,2.82,6.81,8.86,4.19,4.87,3.29,8.86,6.35,2,2.8,5,3.74,2,5.1,7.24,0.23,3.6
March,1.13,3.12,5.88,6.37,4.93,1.72,8.69,3.14,1.72,6.92,3.46,5.14,3.19,3.35,1.98,2.21,2.88,4.96,3.16,0.68,3.45,0.21,3.25,2.99,3.56,2.82,4.46,4.65,2.01,4.02,4.51,6.71,,2.43,1.24,1.83,2.65,9.13,2.17,2.17,3.29,6.75,2.78,3.2,4.12,4.54,2.5,4.31,3.51,3.1,2.4
April,4.48,3.79,1.79,4.54,1.68,1.94,3.63,2.71,1.46,2.42,8.11,1.22,4.78,3.52,2.9,3.96,2.93,4.85,2.23,1.94,3.58,5.81,6.25,1.9,3.2,3.91,2.52,3.55,0.54,3.26,4.09,4.05,2.53,3.55,3.72,3.23,2.26,4.95,3.05,5.23,5.4,3.4,3,4.1,1.02,2.16,3.62,0.64,1.47,5.9,3.21
May,4.21,1.13,4.78,3.46,2.89,2.01,2.72,2.24,3.37,2.21,6.2,2.13,1.3,5.25,5.98,5.04,4.34,1.57,2.01,3.02,2.73,3.14,6.07,2.01,3.18,0.53,2.03,3.35,4,2.98,1.22,3.85,4.37,3.14,4.06,4.1,3.25,4.26,2.45,3.36,3.55,5.01,2.96,3,5.28,5,1.65,1.57,4.1,2.08,2.8
June,4.68,4.57,5.02,2.59,4.35,1.11,4.95,2.47,2.69,1.52,4.52,0.48,2.91,1.1,2.14,0.16,4.68,4.95,5.16,1.34,3.71,6.25,0.88,3.14,2.24,4.35,5.41,1.66,4.4,3.57,1.02,1.9,1.3,3.5,3.12,4.12,4.98,3.77,6.31,1.21,2.28,1.16,2.95,5.55,3.57,4.36,4.3,1.3,5.65,2,2.13
July,5,0.56,6.56,1.36,3.61,6.2,3.24,2.85,4.71,4.48,7.93,2.18,5.28,5.28,4.54,2.56,3.47,3.39,1.74,3.19,9.4,6.18,4.77,5.08,3.42,2.45,4.83,3.8,4.97,7.61,5.28,2.51,5.42,2.7,3.36,1.9,5.68,2.54,2.24,4.68,3.04,3.9,3.02,6.1,5.8,1.15,10,5.4,5.45,3.51,7.88
August,6.84,3.88,9.18,1.65,2.84,5.4,3.67,8.39,2.52,4.29,2.91,6.27,7.01,5.35,5.36,4.24,5.57,6.78,4.35,5.1,6.34,7.97,2.94,1.09,3.66,2.67,2.23,1.28,3.18,2.49,2.5,6.77,5.59,6.2,4.76,3.73,5.24,0.39,6.2,4.83,3.88,6.9,3.2,4.9,7.83,1.1,11.6,7.45,4.1,0.8,5.25
September,0.61,3.39,3.63,3.24,3.18,0.74,2.86,2.27,13.31,2.67,2.26,1.86,5.23,5.68,5.34,4.4,2.83,7.3,0.54,1.62,6.66,6.21,4.9,1.88,3.07,7.16,6.98,1.79,3.41,2.6,4.81,0.82,4.04,4.93,6.46,3.19,7.6,2.56,3.07,2.7,7.98,3.8,6.55,3.55,5.8,2.25,5.35,7.1,4.9,0.22,5.31
October,4.15,4.48,4.49,4.79,3.37,2.6,8.84,7.37,4.22,4.73,3.15,3.41,1.25,4.9,7.17,6.05,4.72,5.08,6.46,6.02,8.02,2.42,8.6,5.99,5.97,11.82,5.65,3.9,10.57,4.82,5.9,5.57,7.82,2.9,5.6,8.33,2.4,1.68,3.64,5.21,2.86,1.52,7.59,3.3,8.34,3.95,3.65,4.53,3.58,3.79,9.51
November,4.45,6.36,3.75,4.67,7.04,3.51,5.5,5.98,2.69,3.93,2.37,2.97,3.37,6.76,4.45,3.27,5.24,6.44,8,9.84,6.44,5.92,4.77,3.1,3.44,8.41,7.34,3.2,6.32,9.45,10.15,4.73,2.06,4.69,8.57,1.1,11.28,7.43,2.46,9.24,7.41,11.92,3.66,4.5,8.35,3.18,2.9,3.49,1.58,5.67,8.03
