SOUTHAMPTON-BROADLANDS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU359192,Long,-1.49006,Lat,50.97116,Elevation,46,ft,,,,,,,,,,,,
Station no,RR8738,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.08,4.1,0.42,1.51,1.44,,,,,,,
February,,,,,,,,,1.94,5.03,4.54,4.36,1.2,,,,,,,
March,,,,,,,,,1.23,0.48,1.14,2.86,1.44,,,,,,,
April,,,,,,,,,2.78,3.36,1.6,0.84,3.81,,,,,,,
May,,,,,,,,,4.55,2.81,0.03,0.92,2.22,,,,,,,
June,,,,,,,,,2.7,4.4,2.4,1.92,3.11,,,,,,,
July,,,,,,,,,1.52,6.48,4.81,1.88,2.7,,,,,,,
August,,,,,,,,,6.06,6.64,1.33,6.3,1.03,,,,,,,
September,,,,,,,,,1.72,3.41,5.07,2.34,3.23,,,,,,,
October,,,,,,,,,3.49,1.64,5.23,1.41,6.62,,,,,,,
November,,,,,,,,,2.22,0.35,3.96,5.18,4.15,,,,,,,
December,,,,,,,,,2.04,0.77,4.64,3.41,2.3,,,,,,,
Total,,,,,,,,,31.33,39.47,35.17,32.93,33.25,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Broadlands was at the southern border of the Broadlands estate and is now called Lee House,,,,,,,,,,,,,,,,,,,,
It matches distance to church and elevation,,,,,,,,,,,,,,,,,,,,
