EAST-GRINSTEAD-OLD-STONE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ394379,Long,-0.009447415,Lat,51.12343,Elevation,448,ft,,,,,,,,,,,,
Station no,RR7762,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,2.92,0.86,1.21,4.41,3.22,0.65,,,,,,,
February,,,,,,,,0.83,1.38,2.95,1.27,0.24,1.52,,,,,,,
March,,,,,,,,1.72,4.72,2.79,2.37,2.63,1.55,,,,,,,
April,,,,,,,,1.99,1.85,2.35,2.94,0.51,1.5,,,,,,,
May,,,,,,,,1.93,1.57,2.02,2.07,2.59,1.03,,,,,,,
June,,,,,,,,0.58,3.48,0.81,2.43,1.83,3.35,,,,,,,
July,,,,,,,,1.39,5.84,2.97,4.93,4.27,1.93,,,,,,,
August,,,,,,,,2.01,4.07,2.8,3.64,4.26,3.44,,,,,,,
September,,,,,,,,2.98,1.15,0.98,1.24,1.78,2.33,,,,,,,
October,,,,,,,,1.7,1.78,6.81,1.14,8.68,5.42,,,,,,,
November,,,,,,,,6.78,5.5,1.67,4.02,3.6,3.88,,,,,,,
December,,,,,,,,2.53,2.51,2.45,0.72,4.91,2.2,,,,,,,
Total,,,,,,,,27.36,34.71,29.81,31.18,38.52,28.8,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Indications are that this gauge is at non standard height,,,,,,,,,,,,,,,,,,,,
