LOCH FANNICH SOUTH,,,,,,,,,,
Grid ref,NH178647,Long,-5.053655,Lat,57.635296,Elevation,960,ft,,
Station no,5773/62,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,6.37
February,,,,,,,,,,5.66
March,,,,,,,,,,0.94
April,,,,,,,,,,7.56
May,,,,,,,,,,2.54
June,,,,,,,,,5.23,4.79
July,,,,,,,,,7.58,3.53
August,,,,,,,,,5.44,5.69
September,,,,,,,,,3.49,3.14
October,,,,,,,,10.35,10.58,2.85
November,,,,,,,,3,7.85,4.35
December,,,,,,,,5.7,8.06,10.28
Total,,,,,,,,,,57.7
,,,,,,,,,,
1958 -999 deleted,,,,,,,,,,
1959 Ja-May Estimated deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5773/62,,,,,,,,,
Midas,14529,,,,,,,,,
Hyd No,789084,,,,,,,,,
