CHELMSFORD-SANDFORD-MILL-WW ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL738060,Long,0.515029,Lat,51.725781,Elevation,68,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,1288/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,,,,,,,,,,,1.31,1.12,1.11,1.16,,,,,,,,,,,,,,,,1.4,1.26,1.79,1.67,0.92,1.3,2.34,3.4,0.9,2.11,1.83,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,,,,,,,,,,,0.58,1.46,0.29,0.99,,,,,,,,,,,,,,,,1,3.13,5.22,0.76,0.89,2.18,1.64,0.31,2.39,2.4,0.04,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,,,,,,,,,,,1.01,0.22,1.23,1.51,,,,,,,,,,,,,,,,0.71,0.53,2.62,2.54,0.35,2.01,0.98,0.75,1.18,0.85,1.48,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,,,,,,,,,,,2.02,2.71,1.82,1.29,,,,,,,,,,,,,,,,1.05,1.46,2.29,0.89,1.76,0.19,0.13,0.98,0.2,1.2,2.05,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,,,,,,,,,,,1.4,2.44,3.52,1.79,,,,,,,,,,,,,,,,1.46,1.55,2.55,1.01,1.41,1.63,4.79,0.51,0.92,2.09,0.82,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,,,,,,,,,,0.21,0.6,1.13,0.51,1.56,,,,,,,,,,,,,,,,0.49,1.56,0.69,1.49,1.68,2.4,2.33,1.4,1.21,5.17,0.52,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,,,,,,,,,,0.84,1.3,2.46,2.08,0.77,,,,,,,,,,,,,,,1.22,1.38,1.86,1.63,0.52,2.75,2.18,0.36,3.99,2.49,3.43,2.45,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,,,,,,,,,,0.69,1.91,2.9,1.7,0.27,,,,,,,,,,,,,,,2.99,1.37,0.86,2.59,1.46,1.61,2.49,0.57,3.74,2.58,3.42,0.93,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,,,,,,,,,,0.09,2.4,1.02,1.9,1.97,,,,,,,,,,,,,,,1.36,1.42,2.23,3.07,2.55,2.1,1.33,2.44,1.58,2.55,5.13,0.05,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,,,,,,,,,,1.85,0.83,0.6,5.1,1.6,,,,,,,,,,,,,,,1.76,4.77,0.22,0.59,2.17,2.6,1.42,4.01,1.09,1.33,2.36,1.87,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
