"CHELMSFORD (SANDFORD MILL W.W.)",,,,,,,,,,,,
Grid ref,TL738060,Long,0.515029,Lat,51.725781,,,,,,,
Station no,1288/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.79,1.67,0.92,1.30,2.34,3.40,0.90,2.11,1.83,1.60,,
February,5.22,0.76,0.89,2.18,1.64,0.31,2.39,2.40,0.04,1.83,,
March,2.62,2.54,0.35,2.01,0.98,0.75,1.18,0.85,1.48,1.10,,
April,2.29,0.89,1.76,0.19,0.13,0.98,0.20,1.20,2.05,0.37,,
May,2.55,1.01,1.41,1.63,4.79,0.51,0.92,2.09,0.82,2.28,,
June,0.69,1.49,1.68,2.40,2.33,1.40,1.21,5.17,0.52,1.83,,
July,1.63,0.52,2.75,2.18,0.36,3.99,2.49,3.43,2.45,2.39,,
August,2.59,1.46,1.61,2.49,0.57,3.74,2.58,3.42,0.93,3.26,,
September,3.07,2.55,2.10,1.33,2.44,1.58,2.55,5.13,0.05,5.13,,
October,0.59,2.17,2.60,1.42,4.01,1.09,1.33,2.36,1.87,5.42,,
November,3.76,3.84,0.71,3.22,0.78,0.47,2.76,1.32,2.44,3.36,,
December,1.77,2.46,0.71,1.59,1.32,2.14,1.65,3.22,3.86,2.26,,
Total,28.57,21.36,17.49,21.94,21.69,20.36,20.16,32.70,18.34,30.83,,
Calc annual,28.57,21.36,17.49,21.94,21.69,20.36,20.16,32.70,18.34,30.83,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
