FERMOY GAS WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IW8180498489,Long,-8.2665038,Lat,52.138295,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,10.42,2.86,8.3,1.51,4.74,3.18,6.65,1.28,1.25,2.97,5.74,3.9,3.52,2.6,5.14,4,2.94,5.18,,2.6,3.91,5.95,2.91,,,,
February,,,,1.51,6.69,1.41,4.57,1.73,2.54,4.38,5.03,4.88,4.06,6,7.42,5.22,2.33,1.26,0.93,2.85,3.36,0.61,4.3,3.8,2.14,2.61,,,,
March,,,,4.14,1.72,1.7,2.88,2.36,0.91,1.65,2.83,3.87,2.1,1.55,3.65,2.85,3.54,1.77,2.42,1.32,3.91,1.91,1.01,0.47,1.78,2.42,,,,
April,,,,1.83,2.15,1.3,3.05,5.04,3.09,3.47,4.34,2.02,4.12,2.41,1.4,3.62,2.26,2.07,1.75,3,1.43,1.66,1.36,1.07,5.86,2.78,,,,
May,,,,1.35,1.44,1.53,0.26,3.58,4.06,2.33,1.04,1.29,2.6,1.35,1.1,3.13,3.26,0.8,3.51,3.42,3.91,2.51,2.71,2.23,1.36,0.7,,,,
June,,,,1.17,0.76,2.78,1.2,4.7,7.93,5.77,3.85,5.15,3.02,2.5,1.7,0.73,0.68,0.4,3.95,1.96,2.57,3.52,1.9,1.24,1.88,3.59,,,,
July,,,,2.75,2.38,2.69,1.24,1.25,2.64,4.24,5.09,2.86,5.25,4.5,1.5,1.01,3.69,1.74,5.68,1.36,2.42,2.53,4.13,3.48,5.26,6.11,,,,
August,,,,4.26,2.75,2.18,2.84,6.55,6.12,3.29,2.13,4.52,2.53,2,1.3,3.42,2.37,2.26,2.92,5.2,1.79,4.28,7.26,5.5,3.08,5.34,,,,
September,,,,2.72,4.31,3.96,4.7,6.45,3.3,2.62,2.55,2.95,1.54,3.38,2.26,4.62,4.18,2.44,0.7,1.39,2.77,3.42,3.55,1.21,1.07,0.3,,,,
October,,,3.71,2.84,4.48,5.59,5.37,5.01,3.42,0.66,3.09,4.57,4,2.25,1.54,2.52,5.74,2.58,3.29,4.02,1.53,5.39,3.19,2.39,6.08,2.1,,,,
November,,,5.08,1.98,4.16,3.71,6.53,5.03,1.96,0.67,3.35,7.32,3.76,4.51,3.1,2.27,3.94,2.35,5.36,2.12,5.08,3.57,7.2,2.56,4.71,,,,,
December,,,8.75,0.71,4.63,3.01,8.31,3.71,1.98,2.15,3.61,4.67,3.98,1.42,2.8,1.87,3.56,3.12,5.16,3.71,2.23,5.69,3.08,4.61,2.76,,,,,
Total,,,,35.68,38.33,38.16,42.46,50.15,41.13,37.88,38.19,45.35,39.93,37.61,31.67,34.78,38.15,25.93,39.67,33.29,36.18,,42.29,32.47,41.93,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1870, 1871 totals estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872 incomplete year so no total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891 Jan observer ill no record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1895 Nov Dec and total observer ill, estimated from other gauges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gas Works were apparently along Commercial Road although there were also military gas works in the Barracks on the north side of the river. However, they apparently aquired their gas from the Gas Company itself witness a discussion abour Wartime usage of said gas in Hansard in 1908.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR for centre of Commercial Road.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
