"MURTHLY, GLENDELVINE",,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 09840 41457,Long,-3.468392,Lat,56.556401,Elevation,175,ft,,,,,,,,,,,,,
Station no,RR7702,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.75,4.03,1.02,2.57,2.72,3.53,3.72,4.5,,,,,,,,
February,,,,,,5.27,3.52,0.35,2.81,1.15,3.19,0.61,2.96,,,,,,,,
March,,,,,,1.41,2.03,1.13,0.78,2.1,2.96,2.9,1.97,,,,,,,,
April,,,,,,1.01,2.07,0.98,0.52,0.79,1.42,0.8,2.13,,,,,,,,
May,,,,,,1.39,3.54,2.8,2.57,1.99,3.19,2.27,1.16,,,,,,,,
June,,,,,,1.46,2.13,1.71,0.46,1.25,1.24,0.58,1.3,,,,,,,,
July,,,,,,3.06,5.67,0.61,6.06,0.74,3.08,2.98,3.16,,,,,,,,
August,,,,,,3.85,4,4.21,4.03,1.63,3.35,5.61,2,,,,,,,,
September,,,,,,1.81,1.1,1.36,2.75,1.07,1.42,1.2,1.71,,,,,,,,
October,,,,,,3.73,5.29,3.18,2.17,0.82,2.51,2.83,1.44,,,,,,,,
November,,,,,,1.9,4.36,2.95,1.81,1.54,3.03,1.91,1.67,,,,,,,,
December,,,,,,6.02,3.41,1.12,1.67,5,4.44,2.04,2.73,,,,,,,,
Total,,,,,,32.66,41.15,21.42,28.2,20.8,33.36,27.45,26.73,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Location approximate,,,,,,,,,,,,,,,,,,,,,
1915 Mar ?,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,RR7702,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
