"RETFORD GRAMMAR SCHOOL",,,,,,,,,,,,
Grid ref,SK708806,Long,-0.938682,Lat,53.317606,,,,,,,
Station no,RR4399,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.70,0.87,1.22,,
February,,,,,,,,1.36,1.36,0.60,,
March,,,,,,,,1.52,2.56,2.88,,
April,,,,,,,,1.87,2.23,1.33,,
May,,,,,,,,2.93,1.85,1.12,,
June,,,,,,,,2.80,1.48,3.49,,
July,,,,,,,,1.74,2.60,3.77,,
August,,,,,,,,1.79,,3.83,,
September,,,,,,,,0.63,1.73,2.40,,
October,,,,,,,,5.21,0.66,2.77,,
November,,,,,,,,1.88,1.02,0.17,,
December,,,,,,,,2.25,1.57,4.61,,
Total,,,,,,,,24.68,,28.19,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.68,17.93,28.19,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,,
