LEEDS-WEETWOOD-QUARRY-DENE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE278379,Long,-1.57904,Lat,53.836615,Elevation,250,ft.,,,,,,,,,,,,,
Station no,3285,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.1,2.5,6.05,2.05,4.12,1.87,1.76,1.82,1.79,,,,,,
February,,,,,,4.34,2.42,1.02,2.82,0.98,0.93,2.58,0.4,3.18,0.22,,,,,,
March,,,,,,0.84,0.98,1.93,2.43,0.2,2.66,0.4,1.69,1.94,2.04,,,,,,
April,,,,,,3.49,1.24,2.94,0.75,1.67,2.82,3.53,2.8,0.98,3.07,,,,,,
May,,,,,,3.83,2.94,1.83,2.02,1.46,1.53,2.73,5.26,3.34,1.33,,,,,,
June,,,,,,0.13,3.87,2.83,4.65,1.08,1.21,5.94,0.11,1.29,1.6,,,,,,
July,,,,,,0.99,2.45,5.14,0.34,1.99,5.14,2.9,3.05,2.49,2.34,,,,,,
August,,,,,,1.95,2.77,5.86,4.69,2.43,2.79,3.75,1.14,0.37,1.23,,,,,,
September,,,,,,2.76,1.63,3.8,0.29,0.37,3.84,4.75,2.1,1.68,2.08,,,,,,
October,,,,,,3.51,3.16,2.66,4.55,3.1,3.31,1.17,3.65,3.77,2.2,,,,,,
November,,,,,,2.34,4.48,2.93,4.04,4.64,3.82,4.63,1.64,2.52,2.02,,,,,,
December,,,,,,3.82,1.11,2.66,1.54,5.83,2.42,0.9,1.25,0.64,4.92,,,,,,
Total,,,,,,,30.15,36.1,34.17,25.8,34.59,35.15,24.85,24.02,24.84,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is close to Quarry Dene at about the right altitude.,,,,,,,,,,,,,,,,,,,,,
