"WENNINGTON, TATHAM RECTORY",,,,,,,,,,,,,,,,,,,,,
Grid ref,SD605694,Long,-2.6058019,Lat,54.118939,Elevation,140,ft,,,,,,,,,,,,,
Station no,3052,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,4.49,7.84,4.27,4.22,3.74,3.53,5.65,5.06,10.76,1.76,6.96,5.4,6.04,3.96,4.9,0.86,4.02,3.93,5.8,,
February,4.31,0.33,4.48,7.17,0.95,6.03,4.76,3.28,5.98,0.81,0.32,4.75,0.08,4.37,0.24,6.55,2.55,6.32,1.79,,
March,5.35,5.26,2.36,1,1.38,1.58,1.98,3.81,3.09,1.35,2.96,0.6,2.75,2.25,2.31,1.19,2.12,1.25,1.2,,
April,5.66,1.37,1.59,3.47,1.56,3.28,0.81,3.48,1.56,1.31,1.71,3.12,3.23,1.92,2.42,3.4,0.5,3.12,0.98,,
May,5.94,3.61,2.72,3.78,5.47,3.84,2.15,2.34,0.57,2.31,1.21,1.5,4.55,1.84,4.02,1.14,2.09,2.01,3.59,,
June,1.95,1.15,3.16,0.91,3.22,0.37,2.92,3.5,6.49,1.77,3.01,5.47,1.37,1.62,2.32,4.17,2.74,3.24,4.15,,
July,6.9,1.51,5.21,5.52,4.19,3.12,4.08,4.44,6.19,4.61,3.89,4.89,5.02,4.53,2.5,2.99,4.17,2.55,4.19,,
August,2.45,7.23,4.76,5.79,3.7,4.83,2.48,7.92,6.14,6.35,6.11,3.34,1.73,2.76,5.23,2.17,2.97,1.75,3.99,,
September,2.27,2.44,3.84,4.69,3.58,3.84,5.2,7.72,2.39,2.73,2.31,1.89,5.56,1.38,3.37,8.99,3.5,2.74,1.75,,
October,1.43,3.06,0.37,9.21,4.96,6.28,3.6,4.6,5.88,7.29,7.79,2.88,5.7,4.78,6.77,8.1,5.07,1.4,10.23,,
November,1.85,2.32,2.08,7.69,3.54,1.99,5.63,7.59,7.24,7.99,5.1,6.11,3.21,1.83,1,4.31,4.56,1.35,5.82,,
December,3.29,5.46,5.18,3.67,6.94,3.17,1.57,1.04,3.54,8.64,4.49,4.27,2.43,0.52,5.89,2.5,5.96,1.26,5.03,,
Total,45.89,41.58,40.02,57.12,43.23,41.86,40.83,54.78,59.83,46.92,45.86,44.22,41.67,31.76,40.97,46.37,40.25,30.92,48.52,,
