ALDERNEY-ST-ANNE,,,,,,,,,,,,,,,,,,,,
Grid ref,WA571070,Long,-2.2074,Lat,49.7129,Elevation,245,ft,,,,,,,,,,,,
Station no,4446,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.33,1.26,0.8,2.03,4.4,1.6,3.85,4.97,1.38,4.35,1,1.41,1.13,3.9
February,,,,,,,3.01,1.75,1.8,0.9,4.73,1.03,2.66,1.38,4.4,3.72,5.8,0.9,0.81,2.98
March,,,,,,,1.46,0.47,2.95,5.18,2.98,2.1,4.2,3.52,4.24,0.67,3.88,2.61,1.11,3.85
April,,,,,,,1.13,2.52,2.95,1.76,1.64,2.17,0.2,2.29,1.17,1.63,0.81,2.01,1.44,1.39
May,,,,,,,2.73,2.58,1.81,0.22,2.29,0.77,0.62,1.68,0.7,1.44,0.87,2.36,1.39,0.69
June,,,,,,,0.87,1.42,0.58,2.76,1.64,1.54,2.43,0.65,0.58,1.46,1.15,0.94,0.24,0.82
July,,,,,,,1.1,1.2,1.19,1.37,2.37,0.73,3.58,1.15,3.18,3.72,0.86,1.48,2.06,1.06
August,,,,,,,0.5,1.62,1.66,1.18,2.1,0.49,6.21,0.92,2.12,1.45,2.28,4.64,1.98,2.71
September,,,,,,,1.14,1.17,2.87,3.55,0.2,0.89,2.29,3.61,3.47,3.88,2.44,0.99,3.68,
October,,,,,,,4.47,7.97,2.37,6.43,,4.39,5.34,4.13,3.5,5.56,4.72,4.12,2.96,
November,,,,,,,4.59,3.28,1.25,3.15,8.79,6.08,3.42,4.44,3.68,3.88,5.07,2.77,2.38,
December,,,,,,,2.3,3.6,3.79,4.46,3.85,7.33,4.24,2.92,8.69,10.18,5.82,1.99,3.15,
Total,,,,,,,28.63,28.84,24.02,32.99,,29.12,39.04,31.66,37.11,41.94,34.7,26.22,22.33,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
All the gauge locations here are estimates,,,,,,,,,,,,,,,,,,,,
This is Le Huret St,,,,,,,,,,,,,,,,,,,,
In 1919 it moved 150yds NW to the Rectory,,,,,,,,,,,,,,,,,,,,
In 1925 it moved 580yds NE to Gros Nez House,,,,,,,,,,,,,,,,,,,,
In 1932 it moved 600yds SW back to near the Rectory,,,,,,,,,,,,,,,,,,,,
"The data ends in 1939, as all but 18 of the residents evacuated for the duration of the war",,,,,,,,,,,,,,,,,,,,
