ALDERNEY-ST-ANNE RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,WA571071,Long,-2.20784,Lat,49.71409,Elevation,205,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,4446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.92,2.67,4.79,1.67,3.53,5.68,,,,,,,2.69,2.65,3.83,0.59,6.42,4.87,4.77,5.44,
February,,,,,,,,,,,1.24,0.68,2.65,5.62,1.49,4.84,,,,,,,0.49,3.81,0.04,4.2,2.8,5.4,1.52,1.26,
March,,,,,,,,,,,2.39,1.33,3.53,2.14,2.22,0.39,,,,,,,2.09,2.7,2.93,1.71,2.61,3.92,0.46,1.48,
April,,,,,,,,,,,2.68,0.6,3.5,2.62,3.41,3.17,,,,,,,2.61,1.02,1.49,2.98,1.29,2.28,0.09,1.4,
May,,,,,,,,,,,1.22,0.97,0.81,4.45,2.16,,,,,,,,3.91,1.2,1.27,1.93,0.7,2.52,0.68,1.36,
June,,,,,,,,,,,2.89,0.47,1.37,0.57,1.32,,,,,,,,0.87,1.08,1.74,2.32,1.65,0.54,0.17,2.57,
July,,,,,,,,,,,3.38,0.6,2.98,0.9,1.95,,,,,,,,2.92,1.69,0.26,0.19,4.53,1.19,1.85,2.68,
August,,,,,,,,,,,1.03,1.91,1.9,1.3,2.93,,,,,,,,0.52,1.7,2,1.15,0.54,0.45,2.07,1.88,
September,,,,,,,,,,3.82,5.85,0.92,1.55,2.3,4.31,,,,,,,,3.88,3.41,2.11,2.9,3.26,2.77,1.37,2.69,
October,,,,,,,,,,1.78,2.42,0.48,3.7,6.78,4.98,,,,,,,,6.62,2.48,2.57,3.18,1.81,4.01,3.8,6.67,
November,,,,,,,,,,4.18,1.31,2.41,2.48,4.04,1.84,,,,,,,,2.2,2.19,5.33,7.56,4.44,3.23,4.79,5.09,
December,,,,,,,,,,4.18,5.35,2.28,5.52,3.48,4.72,,,,,,,,1.25,1.11,7.1,5.9,2.32,6.58,3.09,2.13,
Total,,,,,,,,,,,33.68,15.32,34.78,35.87,34.86,,,,,,,,30.05,25.04,30.67,34.61,32.37,37.76,24.66,34.65,
