"BATCHWORTH HEATH (BATHEND)",,,,,,,,,,,,
Grid ref,TQ076925,Long,-0.447130,Lat,51.621046,,,,,,,
Station no,898/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.10,1.69,0.79,0.94,2.82,3.89,1.31,2.32,1.91,1.98,,
February,4.22,0.74,1.81,2.31,1.80,0.36,2.72,2.54,0.09,2.07,,
March,3.47,3.02,0.53,2.27,1.28,0.99,1.31,1.43,1.91,1.52,,
April,2.92,1.77,2.32,0.36,0.46,1.14,-999.00,1.43,2.03,0.57,,
May,2.29,2.24,1.39,2.39,4.52,0.24,1.00,2.76,0.47,2.13,,
June,1.63,1.26,2.47,4.01,2.30,2.24,1.06,4.46,1.17,2.18,,
July,1.19,0.71,3.97,3.05,0.24,3.77,3.01,2.68,3.48,3.62,,
August,4.01,5.23,2.08,3.09,1.02,3.92,2.25,3.22,1.80,2.78,,
September,3.41,4.00,2.40,1.86,1.92,2.32,2.63,4.79,0.03,4.42,,
October,1.12,3.20,2.55,2.28,3.35,2.36,1.90,2.15,2.04,6.66,,
November,5.50,3.18,1.48,3.93,2.43,0.57,1.73,2.13,2.18,4.27,,
December,1.43,2.53,0.63,1.61,2.24,3.26,2.20,3.11,3.24,3.09,,
Total,34.29,29.57,22.42,28.10,24.38,25.06,21.33,33.02,20.35,35.29,,
Calc annual,34.29,29.57,22.42,28.10,24.38,25.06,21.12,33.02,20.35,35.29,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.21,0.00,0.00,-0.00,,
