SELKIRK (BURN MILL),,,,,,,,,,,,
Grid ref,NT462286,Long,-2.854246,Lat,55.548121,,,,,,,
Station no,5060/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.89,0.61,2.97,2.31,2.07,4.13,3.27,2.04,,,
February,,0.66,0.83,2.88,1.95,1.60,3.59,3.42,0.80,,,
March,,1.57,0.44,2.71,1.71,1.61,2.10,1.45,0.98,,,
April,,2.16,2.77,0.67,0.60,0.55,1.06,1.81,2.35,,,
May,,2.40,2.34,5.56,2.19,1.05,2.01,2.25,0.81,,,
June,,1.86,1.87,2.53,1.01,2.03,1.49,3.30,1.81,,,
July,,1.24,3.58,2.46,2.19,4.16,3.35,4.80,2.02,,,
August,,2.61,2.01,4.76,0.27,7.02,5.10,2.94,0.66,,,
September,,2.27,2.36,3.56,1.92,2.72,1.88,2.00,0.97,,,
October,,3.48,2.00,5.37,1.61,1.81,2.96,2.05,2.72,,,
November,,4.17,2.83,4.34,1.40,0.99,1.36,0.61,6.44,,,
December,,2.09,1.84,3.65,4.64,3.24,2.52,3.45,3.27,,,
Total,,26.40,23.48,41.46,21.80,28.85,31.55,31.35,24.87,,,
Calc annual,0.00,26.40,23.48,41.46,21.80,28.85,31.55,31.35,24.87,0.00,,
Difference,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
