BALLYWALTER PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ620682,Long,-5.497546,Lat,54.53636,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6201/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.91,1.74,3.22,1.18,5.52,4.31,3.79,4.42,4.88,2.06,6.41,5.46,3.54,2.83,4.54,3.74,6.51,2.08,1.28,3.7,3.44,1.3,3.11,3.52,2.97,3.93,3.43,2.44,3.49
February,,0.17,1.85,0.12,2.95,2.84,4.45,1.6,2.81,2.4,3.17,2.24,1.01,0.86,2.62,2.13,1.25,1.38,1.17,2.74,2.76,0.46,0.93,3.75,2.91,1.2,2.78,3.26,1.19,2.62
March,,1.34,2.65,1.74,1.1,2.14,3.35,0.78,2.84,4.4,3.49,3.55,0.61,0.51,1.3,1.7,5.71,2.01,1.78,1.51,2.67,1.29,0.28,3.86,1.46,1.32,3.79,1.49,2.61,2
April,,2.36,1.53,2.91,2.18,1.1,2.34,0.17,1.71,3.36,1.87,1.75,1.66,1.92,2.07,0.8,3.03,1.12,1.98,2.82,1.37,1.8,1.75,0.54,1.79,0.83,1.12,1.32,2.67,2.99
May,,2.5,2.82,2.85,0.98,1.71,1.03,2.27,1.15,2.36,2.03,3.89,2.99,1.68,3.79,1.49,4.44,1.03,1.43,1.16,2.74,1.42,2.37,2.9,2.71,0.94,2.39,3.47,1.37,1.9
June,,1.57,1.98,1.28,2.85,3.58,1.95,3.73,1.57,1.24,0.33,0.32,3.45,2.01,4.13,2.54,3.6,2.84,0.33,2.23,1.58,1.49,1.41,2.24,4.81,2.32,1.05,4.28,2.77,2.16
July,,4.13,3.17,1.86,1.78,6.18,2.82,4.39,3.44,4.43,3.77,2.58,1.65,3.36,3.9,1.95,4.07,2.42,1.82,3.95,2.59,1.48,4.76,2.86,1.29,3.31,2.84,4.14,2.31,5.35
August,,2.32,2.33,4.33,1.8,2.74,2.17,2.01,2.61,0.93,5.09,4.84,5.43,3.28,0.86,3.76,0.37,3.41,3.79,4.86,3.62,4.66,3.32,3.33,1.54,7.37,4.21,4.3,1.16,3.86
September,,2.69,0.62,5.03,3.83,4.18,1.95,2.92,2.15,2.2,2.3,3.95,2.96,5.41,2.54,6.28,2.15,2.9,1.93,4.68,2.48,1.84,2.9,3.65,2.68,4.19,4.54,5.93,1.35,2.78
October,,2.49,2.45,3.81,3.86,1.81,3.33,5.3,2.66,5.56,4.09,3.96,3.1,3.76,2.87,0.95,1.27,2.34,5.5,2.8,0.26,5.02,2.17,5.86,2.77,2.06,3.09,2.57,3.28,4.98
November,,1.1,2.64,1.02,3.9,3.08,2.1,3.68,4.95,4.53,3.54,0.49,1.8,5.17,3.36,4.3,3.73,2,3.42,2.73,5.86,2.58,2.85,6.12,3.09,1.27,1.8,2.02,3.42,5.18
December,,4.12,2.26,7.66,3.21,3.44,5.68,3.63,2.56,4.08,1.51,4.3,2.22,5.01,3.71,3.16,2.51,4.91,3.61,3.45,4.08,3.23,3.26,4.08,4.9,3.87,4.28,5.98,4.89,2.25
Total,,26.7,26.04,35.83,29.62,38.32,35.48,34.27,32.87,40.37,33.25,38.28,32.34,36.51,33.98,33.6,35.87,32.87,28.84,34.21,33.71,28.71,27.3,42.3,33.47,31.65,35.82,42.19,29.46,39.56
