"BALLYWALTER PARK",,,,,,,,,,,,
Grid ref,IJ620682,Long,-5.497546,Lat,54.536360,,,,,,,
Station no,6201/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.70,3.44,1.30,3.11,3.52,2.97,3.93,3.43,2.44,3.49,,
February,2.76,0.46,0.93,3.75,2.91,1.20,2.78,3.26,1.19,2.62,,
March,2.67,1.29,0.28,3.86,1.46,1.32,3.79,1.49,2.61,2.00,,
April,1.37,1.80,1.75,0.54,1.79,0.83,1.12,1.32,2.67,2.99,,
May,2.74,1.42,2.37,2.90,2.71,0.94,2.39,3.47,1.37,1.90,,
June,1.58,1.49,1.41,2.24,4.81,2.32,1.05,4.28,2.77,2.16,,
July,2.59,1.48,4.76,2.86,1.29,3.31,2.84,4.14,2.31,5.35,,
August,3.62,4.66,3.32,3.33,1.54,7.37,4.21,4.30,1.16,3.86,,
September,2.48,1.84,2.90,3.65,2.68,4.19,4.54,5.93,1.35,2.78,,
October,0.26,5.02,2.17,5.86,2.77,2.06,3.09,2.57,3.28,4.98,,
November,5.86,2.58,2.85,6.12,3.09,1.27,1.80,2.02,3.42,5.18,,
December,4.08,3.23,3.26,4.08,4.90,3.87,4.28,5.98,4.89,2.25,,
Total,33.71,28.71,27.30,42.30,33.47,31.65,35.82,42.19,29.46,39.56,,
Calc annual,33.71,28.71,27.30,42.30,33.47,31.65,35.82,42.19,29.46,39.56,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
