HAYFIELD-UPPER-MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK067879,Long,-1.9007266,Lat,53.3879,Elevation,1362,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/9/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.97,5.95,5.61,8.12,,,,5.81,,6.27,5.78,4.5,11.83,3.59,3.8,,5.35,3.05,5.46,,,,5.9,4.65,10.5
February,,,,,,4.2,7.3,1.9,3.77,,7.18,,3.85,3.9,4.77,7.71,,3.38,2.62,6.69,5.48,3.7,3.75,4.4,,,3.55,7.5,0.7,4.2
March,,,,,,3.59,3.95,2.38,2.94,3.45,5.48,3.5,1.6,1.57,1.71,2.19,,1.46,,2.21,6.8,,3.5,3.7,,,3.67,2.6,2.55,2
April,,,,,3.75,2,4.94,0.75,3.35,4.22,,2.02,2.71,3.17,2.63,2.04,3.97,2.35,,4.36,3.1,4.35,3.4,0.9,,2.09,0.65,,3.3,2.5
May,,,,,0.47,1.54,2.8,4.57,2.55,1.2,3.03,4,3.41,6.17,3.96,1.91,4.17,1.82,2.76,1.45,2.46,3,2.65,4.1,,1.55,1.3,4.4,0.8,
June,,,,,4,3.98,2.13,4.68,2.82,1.15,2.08,1.53,4.07,4,3.65,4.22,2.88,6.71,1.39,3,1.9,3.05,3.8,3.65,3.5,3.4,1.5,5.7,2.2,1.3
July,,,,,2.57,6.34,4.77,6.04,7.43,,3.68,6.25,2.05,4.45,2.2,5.38,3.64,2.98,,3.5,3.8,4.5,6.8,8.7,0.62,6.6,,6.15,4.05,7.9
August,,,,,1.85,2.83,1.25,3.1,2.15,2.79,7.02,4.54,6.38,3.81,3.5,5.11,0.51,,,4.31,6.2,2.45,4.8,7.05,0.51,10.85,8.1,3.9,0.51,7.25
September,,,,,6.62,7.5,1.52,3.4,1.48,4.36,0.91,3.81,6.26,6.03,3.02,5.97,2.16,3.24,1.79,6.23,2.85,5.6,2.9,5.8,2.62,4.2,,6.3,0.1,5.1
October,,,,,9.5,6.18,2.69,7.45,4.3,4.57,5.85,8.44,3.13,5.11,7.5,1.23,1.72,3.32,4.38,2.32,1.3,5.85,2.4,8.05,3.1,3.35,4.55,5,3.65,6.2
November,,,,,6.57,5.99,2.33,5.65,7.39,9.9,3.74,1.78,4.58,7.63,0.92,7.38,5.9,2.86,6.35,6.92,10.5,4,3.25,7.76,2.55,2.4,,2.1,6.4,6.7
December,,,,,6.6,6.29,6.3,,3.04,5.64,,4.54,2.44,4.2,3.5,5.05,6.21,3.66,6.98,4.66,6.8,4.5,2.4,9.1,5.65,7.3,6.33,4.75,8.05,
Total,,,,,,56.41,45.93,,49.34,,,,46.29,,43.63,53.97,,,,49.45,,,42.7,68.67,,,,,36.96,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11877 UPPER MOOR Start 1935 end 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on Upper Moor near Kinder Reservoir. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May to Aug 1953 are duplicates of Hayfield Tunstead Clough and there is no indication which if any record is the original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
