ABERDARE NANTHIR RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN988068,Long,-3.467399,Lat,51.750722,Elevation,860,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,
January,,,,,,,,,4.83,3.43,1.09,1.61,6.7,9.92,10.13,7.33,7.44,5.41,2.9,2.7,11.8,6.72,3.9,4.25,8.5,6.24,2.03,2.49,2.47,11.95,7.79,5.83,3.15,10.8,10.76,2.53,11.28,3.78,4.55,4.09,8.08,2.38,7.28,9.75,4.79,6.37,6.62,2.14,6.81,8.25,9.68,9.16,6.78,5.56,7.98,7.97,9.87,7.5,9.19,1.51,11.84,7.26,14.24,8.32,9.28,2.21,9.13,11.69,11.77,10.55,3.83,3.94,5.81,11.83,7.9,6.52,10.96,6.03,12.63,2.44,2.03,8.47,6.37,1.95,3.9,4.32,8.51,8.53,6.25,8.46,7.63,,,,,,,,,
February,,,,,,,,,4.84,6.68,8.73,8.23,5.82,10.03,7.05,8.87,2.1,2.17,1.08,4.11,1.52,0.19,3.78,9.39,6.79,0.15,1.78,4.4,3.94,7.95,8.81,2.04,2.7,6.55,7.96,2.19,5.74,3.53,4.38,0.91,10.24,6.23,5.47,4.33,11.33,11.54,9.22,1.41,5.31,4.07,2.99,0.17,8.19,14.6,0.58,11.97,4.88,4.64,5.7,1.4,0.69,5.91,0.15,6.84,0.49,7.77,3.16,10.7,3.2,5.82,5.53,6.2,0.85,4.34,1.63,9.21,5.89,1.81,4.3,3.12,10.33,7.16,1.63,2.14,5.69,2.71,0.86,9.02,9.55,0.54,8.51,,,,,,,,,
March,,,,,,,,,3.08,2.82,3.66,6.16,4.07,2.35,5.46,2.3,8.96,2.99,5.78,3.73,3.73,2.62,1.64,0.59,6.42,6.28,7.89,8.71,1.81,2.86,1.18,5.52,3.39,11.44,2.76,8.42,4.78,3.32,6.43,6.7,2.4,1.94,11.73,10.24,10.14,1.17,2.72,3.28,3.25,7.23,7.86,7.33,6.71,2.31,2.48,1.61,1.8,5.16,4.53,0.97,3.84,0.98,4.32,5.27,4.32,1.62,3.92,4.62,1.32,3.14,4.98,4.12,4.83,1.16,0.56,3.53,2.2,11.01,3.68,2.44,3.8,5.81,3.48,4.43,5.23,3.94,3.65,7.08,1.36,6.32,2.58,,,,,,,,,
April,,,,,,,,,2.73,1.94,2.84,1.47,6.45,1.36,1.84,4.99,3.87,2.03,2.38,3.69,1.86,4.25,1.64,0.24,3.06,3.45,1.32,4.75,3.58,6.52,2.55,6.04,3.14,2.36,3.69,6.43,1.22,3.98,3.31,5.27,3.99,3.31,0.66,11.6,2.19,2.01,4.14,2.34,2.8,2.81,9.98,1.08,4.24,4.28,5.24,3.87,3.42,1.93,1.62,0.53,4.25,4.58,5.13,2.07,3.99,7.59,3.37,4.12,0.45,3.75,4.33,1.55,3.6,2.13,3.83,3.76,1.74,6.55,3.21,5.38,4.23,4.2,4.23,3.84,1.13,2.85,1.49,0.32,1.51,6,5.23,,,,,,,,,
May,,,,,,,,,8.46,3.55,2.98,3.53,3.56,2.74,3.6,3.95,5.27,3,3.2,3.35,2.38,5.64,2.05,3.81,3.67,0.82,0.16,2.53,4.76,4.03,3.67,1.69,3,4.98,3.25,0.48,4.22,3.52,4.32,2.28,2.06,2.68,1.63,3.39,3.29,3.01,3.44,3.02,1.93,1.06,3.28,1.7,1.18,3.91,4.62,6.91,3.11,2.28,0.63,5.23,2.83,4.69,7.5,1.85,4.08,2.08,1.72,2.09,4.47,1.07,1.87,2.83,8.71,7.26,1.95,4.33,3.72,3.04,4.76,5.05,3.03,3,4.47,3.35,3.85,6.38,1.76,2.87,5.1,1.79,1.65,,,,,,,,,
June,,,,,,,,,5.07,7.59,3.83,5.07,6.81,5.74,2.49,3.09,0.89,0.85,3.92,0.51,2.97,2.72,2.96,2.01,2.84,1.25,1.83,2.65,2.9,1.68,3.73,2.77,3.89,1.46,2.25,3.65,2.29,5.71,1.04,4.33,4.93,4.88,7.56,2.72,1.69,1.85,3.08,2.16,1.67,1.86,2.71,0.44,1.35,0.96,2.85,0.04,2.7,4.69,4.49,3.39,1.62,5.32,2.66,2.79,1.61,6.31,4.06,2.59,4.18,3.92,0.97,2.89,0.17,4.95,3.6,5.51,5.47,2.87,6.63,0.98,2.73,1.48,4.17,2.85,5.83,6.59,3.95,1.52,5.26,2.95,3.82,,,,,,,,,
July,,,,,,,,,1.46,5.96,8.46,2.41,8.73,5.32,4.99,1.52,5,2.65,8.61,4.12,2.73,3.07,2.85,4.39,4.81,5.92,2.81,2.44,0.9,1.22,1.89,1.29,2.86,3.34,3.39,1.52,1.13,3.17,4.07,3.89,4.55,0.21,4.36,0.8,5.44,7.87,2.22,3.38,6.31,1.4,6.79,2.13,5.74,3.36,6.15,3.12,3.14,5.01,2.51,5.29,4.98,4.66,5.42,5.5,1.84,1.2,10.29,3.95,5.2,12.05,5.53,2.82,4.4,3.18,3.19,4.61,2.6,3.65,2.22,1.39,7.02,1.71,2.79,6.42,4.83,0.74,5.44,5.85,5.01,5.06,6.85,,,,,,,,,
August,,,,,,,,,7.75,10.09,0.57,7.41,5.24,3.41,3.64,3.41,2.59,2.91,4.19,4.78,5.07,10.48,6.35,4.16,4.39,7.08,3.13,9.06,5.07,2.88,5.11,3.96,2.6,8.18,5.54,7.22,4.49,5.1,9.87,1.97,8.71,2.86,10.41,2.75,5.06,3.37,5.92,12.4,2.67,3.76,2.31,4.87,3.64,5.02,6.83,4.84,4.28,8.57,4.5,3.51,7.03,6.59,1.66,1.23,4.97,2.2,1.01,1.18,5.86,3.37,0.6,7.35,5.59,5.05,5.05,3.24,9.07,0.52,7.18,4.16,9.59,8.56,6.86,4.52,5.71,1.25,6.13,4.9,5.21,1,5.84,,,,,,,,,
September,,,,,,,,,4.32,6.48,3.94,2.68,3.76,6.08,3.41,8.86,4.98,5.67,1.46,2.02,2.34,4.2,5.11,3.36,2.06,1.52,9.71,5.93,1.57,4.2,3.04,3.39,2.86,5.97,2.34,3.89,1.69,1.24,3.73,4.91,0.32,3.36,1.08,2.96,2.73,0.96,3.58,3.27,12.44,2.9,5.26,2.9,4.22,5.75,8.67,5.09,1.82,5.36,1.71,1.98,7.11,2.64,6.24,2.06,4.75,10.85,4.57,2.84,2.43,1.35,3.28,0.9,4.54,6.17,6.05,5.13,9.24,3,5.15,3.68,8.44,6.14,2.14,6.65,7.21,2.61,6.38,9.53,10.32,0.36,5.6,,,,,,,,,
October,,,,,,,,,8.57,2.28,5.13,4.32,8.06,7.12,2.62,6.21,9.36,2.81,3.56,5.25,3.16,13.71,5.41,5.8,9,4.21,7.79,3.74,8.01,4.31,9.17,3.21,4.78,17.29,2.79,3.51,9.6,8.53,3.94,13.96,4.89,5.91,7.5,6.43,2.94,3.9,15.33,8.85,4.78,1.77,6.17,2.27,1.92,13.46,7.21,9.05,4.69,4.96,8.98,9.82,9.94,1.57,11.55,9.39,6.78,9.53,3.92,3.69,9.85,5.14,9,6.2,5.06,5.6,9.87,7.76,1.3,1.35,5.3,11.59,3.46,1.93,6.16,4.54,8.54,4.61,2.44,5.44,8.3,7.44,8.08,,,,,,,,,
