ALPORT-MOOR-ALPORT-CASTLE-NO82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK133919,Long,-1.8013257,Lat,53.42373,Elevation,975,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2695/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.4,5.03,7.32,7.24,8.32,,4.84,6.22,7.56,9.7,7.34,7.75,4.78,13.2,3.78,4.8,6.1,6.7,2.61,5.25,3.5,9.5,3.82,8.3,4.85,9.46
February,,,,,9.6,4.51,8.6,3.24,4.57,3.07,7,2.71,4.6,3.56,6.5,9.51,3.7,4.68,2.87,8.61,4.7,2.6,3.32,4.6,2.91,2,4.93,9.4,0.75,4.46
March,,,,,2.62,4.07,4.15,2.88,4.27,3.87,7.9,3.32,1.9,1.46,1.78,2.28,9.29,2.2,2.94,2.58,,3.85,3.6,3.6,4.1,2.56,4.48,4,2.75,2.63
April,,,,,4.82,2.22,4.91,0.73,2.91,4.17,3.54,2.64,3.01,3.6,2.97,1.76,4.75,3.7,5,5.55,3.5,,4.2,0.72,2.22,2.55,1.1,2.25,5.5,3.6
May,,,,,0.85,1.78,2.87,4.43,2.99,1.17,3.32,4.64,3.65,4.83,3.77,2.33,3.93,1.9,2.78,2.75,3.5,2.7,3.2,3.82,5.3,1.43,,4.65,1.75,2.83
June,,,,,4.6,3.37,2.01,4.67,3.39,1.49,2.7,0.98,4.91,3.89,5.3,5.38,2.91,6.65,1.62,2.2,1.95,,4.49,3.36,4.12,4.39,1.8,6.5,2.5,1.65
July,,,,,2.65,6.63,4.47,5.52,8.66,5.23,4.41,6.06,2.71,4.34,1.87,5.89,2.46,3.11,2.72,4,,4.3,6.27,7.2,0.5,8.7,5.47,6.3,,9.7
August,,,,,2.5,3.7,1.65,,2.81,2.81,7.62,5,6.41,3.73,3.25,5.17,0.35,6.36,3.6,3.7,6.66,3,4.88,6.6,0.45,11.5,8.43,4.63,,5.25
September,,,,,7,7.77,1.88,3.39,2.51,5.04,,3.64,5.25,6.13,2.79,7.32,2.6,3.8,2.8,7.65,3.85,5.75,2.8,5.5,2.47,4.73,10.56,6.25,,4.95
October,,,,,12.29,6.55,3.2,9.63,4.49,,6.28,7.79,2.96,6.64,8.44,1.86,1.22,3.58,5.5,2.32,1.75,8.6,3.1,8.65,4.25,3.36,6,4.43,4.5,7.86
November,,,,,8.37,7.78,2.52,6.89,9.14,11.01,4.53,1.68,5.59,9.12,0.88,9.89,6.58,2.75,8.69,8.45,11.55,4.2,3.15,8.31,2.75,2.75,3.22,2.3,6.3,7.7
December,,,,,6.29,6.27,4.77,7.6,4.4,6.83,,5.52,3.12,4.89,4.2,6.14,6.18,4.57,9.64,3.1,9.37,5.22,2.85,11.95,6.23,7.12,7.6,5.7,9.2,6.3
Total,,,,,65.99,59.68,48.35,,58.46,,,50.2,51.67,61.89,49.09,65.28,48.75,56.5,51.94,55.71,,,44.47,69.56,38.8,60.59,,64.71,,66.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record north of Alport Castles Farm. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
